x,y1,y2
0.14000,-1.71323,9.30612
0.14068,-1.70130,9.31642
0.14135,-1.68938,9.32672
0.14203,-1.67745,9.33702
0.14270,-1.66553,9.34733
0.14338,-1.65362,9.35765
0.14405,-1.64170,9.36798
0.14473,-1.62979,9.37831
0.14541,-1.61788,9.38865
0.14608,-1.60597,9.39899
0.14676,-1.59406,9.40934
0.14743,-1.58216,9.41970
0.14811,-1.57026,9.43006
0.14878,-1.55836,9.44043
0.14946,-1.54646,9.45080
0.15014,-1.53457,9.46119
0.15081,-1.52267,9.47157
0.15149,-1.51078,9.48197
0.15216,-1.49889,9.49237
0.15284,-1.48701,9.50277
0.15351,-1.47512,9.51318
0.15419,-1.46324,9.52360
0.15486,-1.45136,9.53402
0.15554,-1.43949,9.54445
0.15622,-1.42761,9.55489
0.15689,-1.41574,9.56533
0.15757,-1.40387,9.57577
0.15824,-1.39200,9.58623
0.15892,-1.38014,9.59668
0.15959,-1.36828,9.60715
0.16027,-1.35641,9.61762
0.16095,-1.34456,9.62809
0.16162,-1.33270,9.63857
0.16230,-1.32085,9.64906
0.16297,-1.30899,9.65955
0.16365,-1.29714,9.67005
0.16432,-1.28530,9.68055
0.16500,-1.27345,9.69106
0.16568,-1.26161,9.70157
0.16635,-1.24977,9.71209
0.16703,-1.23793,9.72262
0.16770,-1.22609,9.73315
0.16838,-1.21426,9.74368
0.16905,-1.20243,9.75422
0.16973,-1.19060,9.76477
0.17041,-1.17877,9.77532
0.17108,-1.16695,9.78588
0.17176,-1.15512,9.79644
0.17243,-1.14330,9.80701
0.17311,-1.13148,9.81758
0.17378,-1.11967,9.82816
0.17446,-1.10785,9.83874
0.17514,-1.09604,9.84933
0.17581,-1.08423,9.85992
0.17649,-1.07243,9.87052
0.17716,-1.06062,9.88112
0.17784,-1.04882,9.89173
0.17851,-1.03702,9.90234
0.17919,-1.02522,9.91296
0.17986,-1.01342,9.92358
0.18054,-1.00163,9.93421
0.18122,-0.98984,9.94484
0.18189,-0.97805,9.95548
0.18257,-0.96626,9.96612
0.18324,-0.95448,9.97677
0.18392,-0.94269,9.98742
0.18459,-0.93091,9.99807
0.18527,-0.91914,10.00874
0.18595,-0.90736,10.01940
0.18662,-0.89559,10.03007
0.18730,-0.88382,10.04075
0.18797,-0.87205,10.05142
0.18865,-0.86028,10.06211
0.18932,-0.84851,10.07280
0.19000,-0.83675,10.08349
0.19068,-0.82499,10.09419
0.19135,-0.81323,10.10489
0.19203,-0.80148,10.11559
0.19270,-0.78972,10.12630
0.19338,-0.77797,10.13702
