x,y
0.47000,9.00000
0.57000,8.00000
0.42500,9.00000
0.49000,7.00000
0.45500,9.00000
0.39500,5.00000
0.38500,8.00000
0.51000,8.00000
0.65000,9.00000
0.55000,12.00000
0.59500,6.00000
0.64500,16.00000
0.40000,7.00000
0.36000,7.00000
0.63000,10.00000
0.65500,18.00000
0.57500,13.00000
0.47500,13.00000
0.46000,9.00000
0.62000,9.00000
0.55000,13.00000
0.58000,9.00000
0.38000,7.00000
0.57000,9.00000
0.57000,11.00000
0.56500,9.00000
0.43000,8.00000
0.64000,12.00000
0.25500,6.00000
0.47500,9.00000
0.41500,7.00000
0.43500,12.00000
0.45500,8.00000
0.64000,10.00000
0.40000,8.00000
0.70500,11.00000
0.32000,6.00000
0.59500,12.00000
0.62000,10.00000
0.60000,11.00000
0.59500,8.00000
0.59500,15.00000
0.67000,10.00000
0.47500,16.00000
0.64500,9.00000
0.60000,15.00000
0.43500,9.00000
0.72500,16.00000
0.50000,9.00000
0.64500,12.00000
0.50000,7.00000
0.46500,9.00000
0.29500,6.00000
0.55000,10.00000
0.66500,10.00000
0.47500,9.00000
0.46500,11.00000
0.43500,7.00000
0.44000,10.00000
0.52500,9.00000
0.64000,10.00000
0.60000,10.00000
0.35000,7.00000
0.56500,17.00000
0.50500,19.00000
0.48500,9.00000
0.19000,3.00000
0.64500,10.00000
0.70000,10.00000
0.67500,12.00000
0.58000,9.00000
0.47500,7.00000
0.49000,8.00000
0.42500,7.00000
0.53000,14.00000
0.65000,11.00000
0.62500,10.00000
0.59000,8.00000
0.59000,8.00000
0.50000,11.00000
0.64500,18.00000
0.67500,14.00000
0.57000,14.00000
0.44000,7.00000
0.58000,10.00000
0.54500,7.00000
0.28500,5.00000
0.62500,9.00000
0.64500,12.00000
0.81500,14.00000
0.64000,13.00000
0.58000,18.00000
0.43000,13.00000
0.59000,10.00000
0.64500,10.00000
0.60500,10.00000
0.49500,8.00000
0.54000,8.00000
0.55500,15.00000
0.38000,7.00000
0.57500,9.00000
0.58500,15.00000
0.47500,8.00000
0.55000,12.00000
0.58500,13.00000
0.50000,8.00000
0.42500,8.00000
0.33000,6.00000
0.50000,9.00000
0.54000,9.00000
0.24000,6.00000
0.52500,8.00000
0.38500,6.00000
0.55000,11.00000
0.58500,9.00000
0.50500,7.00000
0.14000,4.00000
0.56000,11.00000
0.63500,10.00000
0.18500,4.00000
0.49500,8.00000
0.59500,9.00000
0.74000,13.00000
0.45500,9.00000
0.47500,9.00000
