x,y1,y2
3.00000,-0.03311,0.31258
3.02402,-0.03154,0.31354
3.04805,-0.02997,0.31451
3.07207,-0.02839,0.31550
3.09610,-0.02681,0.31651
3.12012,-0.02523,0.31754
3.14414,-0.02364,0.31858
3.16817,-0.02205,0.31963
3.19219,-0.02045,0.32071
3.21622,-0.01885,0.32179
3.24024,-0.01725,0.32290
3.26426,-0.01564,0.32402
3.28829,-0.01403,0.32515
3.31231,-0.01242,0.32631
3.33634,-0.01080,0.32747
3.36036,-0.00917,0.32865
3.38438,-0.00755,0.32985
3.40841,-0.00592,0.33106
3.43243,-0.00428,0.33228
3.45646,-0.00264,0.33352
3.48048,-0.00100,0.33478
3.50450,0.00065,0.33605
3.52853,0.00231,0.33733
3.55255,0.00396,0.33862
3.57658,0.00563,0.33993
3.60060,0.00729,0.34125
3.62462,0.00896,0.34259
3.64865,0.01064,0.34394
3.67267,0.01232,0.34530
3.69670,0.01400,0.34668
3.72072,0.01569,0.34806
3.74474,0.01738,0.34946
3.76877,0.01908,0.35087
3.79279,0.02078,0.35230
3.81682,0.02248,0.35373
3.84084,0.02420,0.35518
3.86486,0.02591,0.35664
3.88889,0.02763,0.35811
3.91291,0.02935,0.35959
3.93694,0.03108,0.36109
3.96096,0.03282,0.36259
3.98498,0.03455,0.36411
4.00901,0.03629,0.36563
4.03303,0.03804,0.36717
4.05706,0.03979,0.36872
4.08108,0.04155,0.37027
4.10511,0.04331,0.37184
4.12913,0.04507,0.37342
4.15315,0.04684,0.37500
4.17718,0.04861,0.37660
4.20120,0.05039,0.37820
4.22523,0.05217,0.37982
4.24925,0.05395,0.38144
4.27327,0.05574,0.38308
4.29730,0.05754,0.38472
4.32132,0.05933,0.38637
4.34535,0.06114,0.38802
4.36937,0.06294,0.38969
4.39339,0.06475,0.39137
4.41742,0.06656,0.39305
4.44144,0.06838,0.39474
4.46547,0.07020,0.39644
4.48949,0.07203,0.39814
4.51351,0.07386,0.39986
4.53754,0.07569,0.40158
4.56156,0.07753,0.40330
4.58559,0.07937,0.40504
4.60961,0.08121,0.40678
4.63363,0.08306,0.40852
4.65766,0.08491,0.41028
4.68168,0.08676,0.41204
4.70571,0.08862,0.41380
4.72973,0.09048,0.41557
4.75375,0.09234,0.41735
4.77778,0.09421,0.41913
4.80180,0.09607,0.42092
4.82583,0.09795,0.42272
4.84985,0.09982,0.42451
4.87387,0.10170,0.42632
4.89790,0.10358,0.42813
4.92192,0.10546,0.42994
4.94595,0.10735,0.43176
4.96997,0.10923,0.43358
4.99399,0.11112,0.43541
5.01802,0.11302,0.43724
5.04204,0.11491,0.43907
5.06607,0.11681,0.44091
5.09009,0.11871,0.44275
5.11411,0.12061,0.44460
5.13814,0.12251,0.44645
5.16216,0.12441,0.44830
5.18619,0.12632,0.45016
5.21021,0.12823,0.45202
5.23423,0.13013,0.45388
5.25826,0.13204,0.45574
5.28228,0.13396,0.45761
5.30631,0.13587,0.45948
5.33033,0.13778,0.46135
5.35435,0.13970,0.46322
