x,y
9.00000,0.47000
8.00000,0.57000
9.00000,0.42500
7.00000,0.49000
9.00000,0.45500
5.00000,0.39500
8.00000,0.38500
8.00000,0.51000
9.00000,0.65000
12.00000,0.55000
6.00000,0.59500
16.00000,0.64500
7.00000,0.40000
7.00000,0.36000
10.00000,0.63000
18.00000,0.65500
13.00000,0.57500
13.00000,0.47500
9.00000,0.46000
9.00000,0.62000
13.00000,0.55000
9.00000,0.58000
7.00000,0.38000
9.00000,0.57000
11.00000,0.57000
9.00000,0.56500
8.00000,0.43000
12.00000,0.64000
6.00000,0.25500
9.00000,0.47500
7.00000,0.41500
12.00000,0.43500
8.00000,0.45500
10.00000,0.64000
8.00000,0.40000
11.00000,0.70500
6.00000,0.32000
12.00000,0.59500
10.00000,0.62000
11.00000,0.60000
8.00000,0.59500
15.00000,0.59500
10.00000,0.67000
16.00000,0.47500
9.00000,0.64500
15.00000,0.60000
9.00000,0.43500
16.00000,0.72500
9.00000,0.50000
12.00000,0.64500
7.00000,0.50000
9.00000,0.46500
6.00000,0.29500
10.00000,0.55000
10.00000,0.66500
9.00000,0.47500
11.00000,0.46500
7.00000,0.43500
10.00000,0.44000
9.00000,0.52500
10.00000,0.64000
10.00000,0.60000
7.00000,0.35000
17.00000,0.56500
19.00000,0.50500
9.00000,0.48500
3.00000,0.19000
10.00000,0.64500
10.00000,0.70000
12.00000,0.67500
9.00000,0.58000
7.00000,0.47500
8.00000,0.49000
7.00000,0.42500
14.00000,0.53000
11.00000,0.65000
10.00000,0.62500
8.00000,0.59000
8.00000,0.59000
11.00000,0.50000
18.00000,0.64500
14.00000,0.67500
14.00000,0.57000
7.00000,0.44000
10.00000,0.58000
7.00000,0.54500
5.00000,0.28500
9.00000,0.62500
12.00000,0.64500
14.00000,0.81500
13.00000,0.64000
18.00000,0.58000
13.00000,0.43000
10.00000,0.59000
10.00000,0.64500
10.00000,0.60500
8.00000,0.49500
8.00000,0.54000
15.00000,0.55500
7.00000,0.38000
9.00000,0.57500
15.00000,0.58500
8.00000,0.47500
12.00000,0.55000
13.00000,0.58500
8.00000,0.50000
8.00000,0.42500
6.00000,0.33000
9.00000,0.50000
9.00000,0.54000
6.00000,0.24000
8.00000,0.52500
6.00000,0.38500
11.00000,0.55000
9.00000,0.58500
7.00000,0.50500
4.00000,0.14000
11.00000,0.56000
10.00000,0.63500
4.00000,0.18500
8.00000,0.49500
9.00000,0.59500
13.00000,0.74000
9.00000,0.45500
9.00000,0.47500
7.00000,0.34000
9.00000,0.58000
7.00000,0.37000
7.00000,0.38500
9.00000,0.49500
8.00000,0.41500
12.00000,0.62500
10.00000,0.41500
14.00000,0.64500
12.00000,0.51500
11.00000,0.58000
6.00000,0.34500
10.00000,0.59000
8.00000,0.53500
10.00000,0.60000
7.00000,0.45000
10.00000,0.66000
10.00000,0.62000
8.00000,0.50000
9.00000,0.64000
10.00000,0.57000
6.00000,0.37500
10.00000,0.51500
11.00000,0.61500
16.00000,0.63500
8.00000,0.54500
19.00000,0.66000
9.00000,0.63000
8.00000,0.36000
13.00000,0.60500
9.00000,0.50000
8.00000,0.50500
15.00000,0.65000
7.00000,0.50000
11.00000,0.50000
9.00000,0.54000
5.00000,0.21000
7.00000,0.46500
11.00000,0.60000
9.00000,0.50000
11.00000,0.47500
9.00000,0.54000
10.00000,0.65000
10.00000,0.55000
27.00000,0.66500
8.00000,0.51500
12.00000,0.62500
8.00000,0.45500
16.00000,0.63500
11.00000,0.60000
7.00000,0.41500
8.00000,0.38500
10.00000,0.51500
18.00000,0.57000
9.00000,0.54500
8.00000,0.38000
9.00000,0.57000
13.00000,0.45500
8.00000,0.32500
10.00000,0.64000
8.00000,0.58000
10.00000,0.50500
7.00000,0.46500
4.00000,0.20000
13.00000,0.49000
10.00000,0.68500
10.00000,0.70500
8.00000,0.60000
20.00000,0.53000
9.00000,0.60500
11.00000,0.62000
10.00000,0.56000
8.00000,0.50500
6.00000,0.46000
9.00000,0.65500
11.00000,0.46000
7.00000,0.41500
8.00000,0.52500
11.00000,0.49000
9.00000,0.47000
13.00000,0.49000
5.00000,0.27500
6.00000,0.30000
8.00000,0.47000
7.00000,0.42500
10.00000,0.66500
8.00000,0.60000
12.00000,0.35000
8.00000,0.37000
8.00000,0.46500
7.00000,0.42500
12.00000,0.61000
10.00000,0.47500
8.00000,0.56000
9.00000,0.64000
8.00000,0.30000
13.00000,0.52500
7.00000,0.36500
5.00000,0.17500
8.00000,0.33500
17.00000,0.62000
9.00000,0.53000
13.00000,0.48500
8.00000,0.48500
15.00000,0.48000
8.00000,0.41000
16.00000,0.52000
11.00000,0.49500
11.00000,0.67500
9.00000,0.47500
7.00000,0.32500
7.00000,0.48500
5.00000,0.16000
15.00000,0.61000
6.00000,0.42500
13.00000,0.68000
10.00000,0.57500
9.00000,0.53000
10.00000,0.60500
8.00000,0.51000
10.00000,0.48000
11.00000,0.58500
10.00000,0.46500
8.00000,0.46500
10.00000,0.63000
9.00000,0.63000
11.00000,0.49000
9.00000,0.64000
13.00000,0.74000
9.00000,0.57000
10.00000,0.57500
12.00000,0.65500
12.00000,0.54000
6.00000,0.37500
7.00000,0.34500
7.00000,0.44000
10.00000,0.59500
9.00000,0.62000
13.00000,0.62000
5.00000,0.44000
9.00000,0.50500
8.00000,0.63000
12.00000,0.66000
11.00000,0.55500
4.00000,0.17000
8.00000,0.56000
12.00000,0.63000
8.00000,0.53500
8.00000,0.29000
8.00000,0.63000
11.00000,0.67500
7.00000,0.40500
16.00000,0.64000
10.00000,0.60000
18.00000,0.66000
7.00000,0.46000
11.00000,0.58500
9.00000,0.64500
8.00000,0.29500
13.00000,0.41500
9.00000,0.51500
11.00000,0.71000
10.00000,0.65500
6.00000,0.38000
14.00000,0.60500
8.00000,0.57000
7.00000,0.35000
17.00000,0.64000
11.00000,0.52500
11.00000,0.52000
9.00000,0.47000
8.00000,0.37500
14.00000,0.49000
10.00000,0.47500
11.00000,0.50500
9.00000,0.36500
9.00000,0.58000
8.00000,0.45500
10.00000,0.69500
8.00000,0.61500
8.00000,0.58500
13.00000,0.59000
10.00000,0.60500
9.00000,0.67000
10.00000,0.55000
13.00000,0.35000
17.00000,0.55500
8.00000,0.63500
12.00000,0.63000
8.00000,0.35500
7.00000,0.40500
11.00000,0.55500
5.00000,0.41000
7.00000,0.53500
8.00000,0.58000
11.00000,0.61500
12.00000,0.43500
13.00000,0.62500
10.00000,0.34500
8.00000,0.40500
12.00000,0.68000
9.00000,0.58500
9.00000,0.61000
10.00000,0.59500
8.00000,0.51500
6.00000,0.46500
13.00000,0.45500
9.00000,0.62500
9.00000,0.49000
9.00000,0.51500
4.00000,0.25500
10.00000,0.72500
5.00000,0.30500
8.00000,0.44500
18.00000,0.71000
11.00000,0.44000
7.00000,0.42500
9.00000,0.62000
11.00000,0.62000
9.00000,0.56500
6.00000,0.38000
4.00000,0.19500
7.00000,0.37500
8.00000,0.55000
17.00000,0.65500
10.00000,0.61000
7.00000,0.42000
6.00000,0.33500
6.00000,0.51000
6.00000,0.27000
8.00000,0.51500
10.00000,0.59500
12.00000,0.65000
12.00000,0.69500
8.00000,0.44000
8.00000,0.46000
10.00000,0.47000
8.00000,0.50000
6.00000,0.37500
9.00000,0.52500
10.00000,0.57500
10.00000,0.54500
6.00000,0.30000
15.00000,0.50000
7.00000,0.56000
10.00000,0.59500
5.00000,0.18500
22.00000,0.64000
14.00000,0.57000
17.00000,0.57500
12.00000,0.57000
11.00000,0.52000
10.00000,0.34500
6.00000,0.27500
12.00000,0.65000
13.00000,0.65500
10.00000,0.38500
12.00000,0.75000
9.00000,0.42000
10.00000,0.52500
8.00000,0.37000
11.00000,0.52500
10.00000,0.60500
8.00000,0.37000
6.00000,0.40000
10.00000,0.51500
6.00000,0.37000
7.00000,0.50500
6.00000,0.27500
10.00000,0.59500
23.00000,0.49000
9.00000,0.64000
11.00000,0.69000
11.00000,0.64000
13.00000,0.53500
7.00000,0.54500
15.00000,0.62500
10.00000,0.53500
