residuals,dependent_var
-0.07087,9.00000
0.07739,8.00000
-0.11587,9.00000
0.06195,7.00000
-0.08587,9.00000
0.12127,5.00000
-0.10761,8.00000
0.01739,8.00000
0.10913,9.00000
-0.03848,12.00000
0.24252,6.00000
0.05301,16.00000
-0.02805,7.00000
-0.06805,7.00000
0.05888,10.00000
0.04640,18.00000
-0.01142,13.00000
-0.11142,13.00000
-0.08087,9.00000
0.07913,9.00000
-0.03642,13.00000
0.03913,9.00000
-0.04805,7.00000
0.02913,9.00000
-0.01538,11.00000
0.02413,9.00000
-0.06261,8.00000
0.05152,12.00000
-0.09748,6.00000
-0.06587,9.00000
-0.01305,7.00000
-0.15348,12.00000
-0.03761,8.00000
0.06888,10.00000
-0.09261,8.00000
0.11962,11.00000
-0.03248,6.00000
0.00652,12.00000
0.04888,10.00000
0.01462,11.00000
0.10239,8.00000
0.00883,15.00000
0.09888,10.00000
-0.11699,16.00000
0.10413,9.00000
0.01383,15.00000
-0.10587,9.00000
0.13301,16.00000
-0.04087,9.00000
0.05652,12.00000
0.07195,7.00000
-0.07587,9.00000
-0.05748,6.00000
-0.02112,10.00000
0.09388,10.00000
-0.06587,9.00000
-0.12038,11.00000
0.00695,7.00000
-0.13112,10.00000
-0.01587,9.00000
0.06888,10.00000
0.02888,10.00000
-0.07805,7.00000
-0.03540,17.00000
-0.10899,19.00000
-0.05587,9.00000
0.05027,3.00000
0.07388,10.00000
0.12888,10.00000
0.08652,12.00000
0.03913,9.00000
0.04695,7.00000
-0.00261,8.00000
-0.00305,7.00000
-0.05454,14.00000
0.06462,11.00000
0.05388,10.00000
0.09739,8.00000
0.09739,8.00000
-0.08538,11.00000
0.03640,18.00000
0.09046,14.00000
-0.01454,14.00000
0.01195,7.00000
0.00888,10.00000
0.11695,7.00000
0.01127,5.00000
0.08413,9.00000
0.05652,12.00000
0.23046,14.00000
0.05358,13.00000
-0.02860,18.00000
-0.15642,13.00000
0.01888,10.00000
0.07388,10.00000
0.03388,10.00000
0.00239,8.00000
0.04739,8.00000
-0.03117,15.00000
-0.04805,7.00000
0.03413,9.00000
-0.00117,15.00000
-0.01761,8.00000
-0.03848,12.00000
-0.00142,13.00000
0.00739,8.00000
-0.06761,8.00000
-0.02248,6.00000
-0.04087,9.00000
-0.00087,9.00000
-0.11248,6.00000
0.03239,8.00000
0.03252,6.00000
-0.03538,11.00000
0.04413,9.00000
0.07695,7.00000
-0.06035,4.00000
-0.02538,11.00000
0.06388,10.00000
-0.01535,4.00000
0.00239,8.00000
0.05413,9.00000
0.15358,13.00000
-0.08587,9.00000
-0.06587,9.00000
-0.08805,7.00000
0.03913,9.00000
-0.05805,7.00000
-0.04305,7.00000
-0.04587,9.00000
-0.07761,8.00000
0.03652,12.00000
-0.15612,10.00000
0.06046,14.00000
-0.07348,12.00000
-0.00538,11.00000
-0.00748,6.00000
0.01888,10.00000
0.04239,8.00000
0.02888,10.00000
0.02195,7.00000
0.08888,10.00000
0.04888,10.00000
0.00739,8.00000
0.09913,9.00000
-0.00112,10.00000
0.02252,6.00000
-0.05612,10.00000
0.02962,11.00000
0.04301,16.00000
0.05239,8.00000
0.04601,19.00000
0.08913,9.00000
-0.13261,8.00000
0.01858,13.00000
-0.04087,9.00000
0.01239,8.00000
0.06383,15.00000
0.07195,7.00000
-0.08538,11.00000
-0.00087,9.00000
-0.06373,5.00000
0.03695,7.00000
0.01462,11.00000
-0.04087,9.00000
-0.11038,11.00000
-0.00087,9.00000
0.07888,10.00000
-0.02112,10.00000
0.04047,27.00000
0.02239,8.00000
0.03652,12.00000
-0.03761,8.00000
0.04301,16.00000
0.01462,11.00000
-0.01305,7.00000
-0.10761,8.00000
-0.05612,10.00000
-0.03860,18.00000
0.00413,9.00000
-0.11261,8.00000
0.02913,9.00000
-0.13142,13.00000
-0.16761,8.00000
0.06888,10.00000
0.08739,8.00000
-0.06612,10.00000
0.03695,7.00000
-0.00035,4.00000
-0.09642,13.00000
0.11388,10.00000
0.13388,10.00000
0.10739,8.00000
-0.08525,20.00000
0.06413,9.00000
0.03462,11.00000
-0.01112,10.00000
0.01239,8.00000
0.10752,6.00000
0.11413,9.00000
-0.12538,11.00000
-0.01305,7.00000
0.03239,8.00000
-0.09538,11.00000
-0.07087,9.00000
-0.09642,13.00000
0.00127,5.00000
-0.05248,6.00000
-0.02261,8.00000
-0.00305,7.00000
0.09388,10.00000
0.10739,8.00000
-0.23848,12.00000
-0.12261,8.00000
-0.02761,8.00000
-0.00305,7.00000
0.02152,12.00000
-0.09612,10.00000
0.06739,8.00000
0.09913,9.00000
-0.19261,8.00000
-0.06142,13.00000
-0.06305,7.00000
-0.09873,5.00000
-0.15761,8.00000
0.01960,17.00000
-0.01087,9.00000
-0.10142,13.00000
-0.00761,8.00000
-0.10617,15.00000
-0.08261,8.00000
-0.07199,16.00000
-0.09038,11.00000
0.08962,11.00000
-0.06587,9.00000
-0.10305,7.00000
0.05695,7.00000
-0.11373,5.00000
0.02383,15.00000
0.07252,6.00000
0.09358,13.00000
0.00388,10.00000
-0.01087,9.00000
0.03388,10.00000
0.01739,8.00000
-0.09112,10.00000
-0.00038,11.00000
-0.10612,10.00000
-0.02761,8.00000
0.05888,10.00000
0.08913,9.00000
-0.09538,11.00000
0.09913,9.00000
0.15358,13.00000
0.02913,9.00000
0.00388,10.00000
0.06652,12.00000
-0.04848,12.00000
0.02252,6.00000
-0.08305,7.00000
0.01195,7.00000
0.02388,10.00000
0.07913,9.00000
0.03358,13.00000
0.16627,5.00000
-0.03587,9.00000
0.13739,8.00000
0.07152,12.00000
-0.03038,11.00000
-0.03035,4.00000
0.06739,8.00000
0.04152,12.00000
0.04239,8.00000
-0.20261,8.00000
0.13739,8.00000
0.08962,11.00000
-0.02305,7.00000
0.04801,16.00000
0.02888,10.00000
0.05140,18.00000
0.03195,7.00000
-0.00038,11.00000
0.10413,9.00000
-0.19761,8.00000
-0.17142,13.00000
-0.02587,9.00000
0.12462,11.00000
0.08388,10.00000
0.02752,6.00000
0.02046,14.00000
0.07739,8.00000
-0.07805,7.00000
0.03960,17.00000
-0.06038,11.00000
-0.06538,11.00000
-0.07087,9.00000
-0.11761,8.00000
-0.09454,14.00000
-0.09612,10.00000
-0.08038,11.00000
-0.17587,9.00000
0.03913,9.00000
-0.03761,8.00000
0.12388,10.00000
0.12239,8.00000
0.09239,8.00000
0.00358,13.00000
0.03388,10.00000
0.12913,9.00000
-0.02112,10.00000
-0.23642,13.00000
-0.04540,17.00000
0.14239,8.00000
0.04152,12.00000
-0.13761,8.00000
-0.02305,7.00000
-0.03038,11.00000
0.13627,5.00000
0.10695,7.00000
0.08739,8.00000
0.02962,11.00000
-0.15348,12.00000
0.03858,13.00000
-0.22612,10.00000
-0.08761,8.00000
0.09152,12.00000
0.04413,9.00000
0.06913,9.00000
0.02388,10.00000
0.02239,8.00000
0.11252,6.00000
-0.13142,13.00000
0.08413,9.00000
-0.05087,9.00000
-0.02587,9.00000
0.05465,4.00000
0.15388,10.00000
0.03127,5.00000
-0.04761,8.00000
0.10140,18.00000
-0.14538,11.00000
-0.00305,7.00000
0.07913,9.00000
0.03462,11.00000
0.02413,9.00000
0.02752,6.00000
-0.00535,4.00000
-0.05305,7.00000
0.05739,8.00000
0.05460,17.00000
0.03888,10.00000
-0.00805,7.00000
-0.01748,6.00000
0.15752,6.00000
-0.08248,6.00000
0.02239,8.00000
0.02388,10.00000
0.06152,12.00000
0.10652,12.00000
-0.05261,8.00000
-0.03261,8.00000
-0.10112,10.00000
0.00739,8.00000
0.02252,6.00000
-0.01587,9.00000
0.00388,10.00000
-0.02612,10.00000
-0.05248,6.00000
-0.08617,15.00000
0.13195,7.00000
0.02388,10.00000
-0.08873,5.00000
0.03125,22.00000
-0.01454,14.00000
-0.02540,17.00000
-0.01848,12.00000
-0.06538,11.00000
-0.22612,10.00000
-0.07748,6.00000
0.06152,12.00000
0.06858,13.00000
-0.18612,10.00000
0.16152,12.00000
-0.12087,9.00000
-0.04612,10.00000
-0.12261,8.00000
-0.06038,11.00000
0.03388,10.00000
-0.12261,8.00000
0.04752,6.00000
-0.05612,10.00000
0.01752,6.00000
0.07695,7.00000
-0.07748,6.00000
0.02388,10.00000
-0.11570,23.00000
0.09913,9.00000
0.10462,11.00000
0.05462,11.00000
-0.05142,13.00000
0.11695,7.00000
