x,y
9.70000,205.00000
8.20000,46.00000
6.40000,794.00000
8.10000,325.00000
6.20000,500.00000
9.40000,215.00000
7.80000,383.00000
8.30000,54.00000
6.60000,630.00000
8.30000,413.00000
7.50000,481.00000
7.90000,42.00000
8.40000,242.00000
8.50000,164.00000
8.00000,462.00000
7.60000,560.00000
8.40000,4.00000
7.20000,622.00000
8.50000,239.00000
8.60000,40.00000
7.70000,330.00000
6.60000,789.00000
8.00000,450.00000
8.80000,40.00000
9.80000,252.00000
7.00000,445.00000
8.80000,60.00000
8.90000,58.00000
9.30000,36.00000
9.40000,49.00000
9.20000,84.00000
10.10000,120.00000
8.80000,363.00000
7.70000,290.00000
7.50000,412.00000
10.00000,80.00000
9.40000,21.00000
8.30000,45.00000
8.40000,15.00000
10.20000,62.00000
6.80000,875.00000
9.10000,5.00000
8.30000,373.00000
8.80000,1.00000
8.10000,9.00000
5.90000,607.00000
8.80000,88.00000
8.80000,5.00000
9.00000,7.00000
2.90000,1142.00000
7.80000,549.00000
7.80000,310.00000
8.10000,340.00000
7.80000,77.00000
9.20000,68.00000
8.90000,39.00000
7.90000,396.00000
7.90000,418.00000
6.20000,566.00000
8.90000,69.00000
8.90000,5.00000
10.00000,133.00000
7.90000,480.00000
7.40000,696.00000
8.50000,97.00000
7.00000,677.00000
8.90000,227.00000
8.30000,192.00000
6.90000,692.00000
10.30000,37.00000
10.30000,37.00000
8.80000,123.00000
8.50000,146.00000
7.70000,460.00000
9.80000,85.00000
9.10000,12.00000
8.80000,0.00000
8.60000,144.00000
6.80000,705.00000
6.80000,600.00000
7.80000,443.60000
8.30000,18.00000
7.90000,316.00000
8.80000,408.00000
8.60000,270.00000
10.10000,234.00000
9.60000,150.00000
3.30000,1486.00000
2.90000,1213.00000
8.20000,45.00000
9.70000,112.00000
9.70000,125.00000
8.70000,48.00000
9.10000,481.00000
8.40000,2.00000
6.60000,797.00000
5.90000,928.00000
6.70000,523.00000
9.10000,394.00000
8.70000,8.00000
8.00000,255.00000
8.50000,47.00000
6.50000,719.00000
9.90000,118.00000
8.60000,35.00000
7.80000,311.00000
10.00000,90.00000
9.10000,186.00000
8.50000,2.00000
8.20000,238.00000
8.70000,173.00000
8.10000,58.00000
8.30000,27.00000
8.10000,6.00000
7.80000,40.00000
8.70000,42.00000
2.70000,1436.00000
7.90000,55.00000
7.40000,300.00000
6.10000,567.00000
9.10000,93.00000
8.60000,11.00000
9.40000,22.00000
9.00000,18.00000
8.90000,59.00000
8.50000,269.00000
6.80000,404.00000
10.60000,111.00000
6.80000,500.00000
7.70000,496.00000
9.10000,4.00000
8.90000,140.00000
8.20000,2.00000
9.30000,77.00000
8.50000,350.00000
6.90000,530.00000
8.70000,272.00000
5.90000,1053.00000
5.60000,883.00000
6.10000,1008.00000
6.40000,567.00000
7.70000,242.00000
6.50000,977.00000
8.00000,17.00000
8.90000,128.00000
6.90000,440.00000
4.80000,1125.00000
7.60000,438.00000
8.20000,3.00000
7.80000,37.00000
6.80000,712.00000
9.30000,155.00000
8.60000,7.00000
9.60000,91.00000
8.70000,75.00000
4.90000,839.00000
9.40000,270.00000
7.30000,505.00000
6.70000,487.00000
7.80000,374.00000
10.30000,112.00000
8.50000,231.00000
7.40000,585.00000
6.90000,705.00000
8.50000,27.00000
8.30000,4.00000
8.60000,282.00000
5.60000,805.00000
9.60000,46.00000
6.20000,973.00000
9.60000,92.00000
6.60000,754.00000
7.80000,417.00000
6.90000,850.00000
9.20000,443.00000
6.50000,776.00000
9.50000,102.00000
7.70000,520.00000
8.10000,436.00000
6.70000,747.00000
8.70000,5.00000
8.90000,119.00000
7.50000,300.00000
8.10000,344.50000
7.90000,7.00000
8.20000,9.00000
7.80000,365.00000
7.50000,356.00000
9.10000,138.00000
8.80000,141.00000
7.20000,758.00000
6.10000,818.00000
10.80000,44.00000
8.90000,284.00000
9.30000,185.00000
8.60000,98.00000
9.40000,341.00000
9.40000,22.00000
8.90000,157.00000
9.30000,92.00000
8.40000,26.00000
9.00000,22.00000
8.60000,161.00000
8.10000,5.00000
8.60000,17.00000
7.90000,444.00000
9.40000,58.00000
8.90000,11.00000
8.70000,76.00000
7.80000,419.00000
10.20000,96.00000
8.90000,186.00000
6.80000,547.00000
6.90000,450.00000
8.00000,77.00000
7.70000,313.00000
7.50000,621.00000
8.40000,42.00000
8.00000,405.00000
9.70000,273.00000
8.30000,63.00000
8.10000,515.00000
7.80000,528.00000
9.10000,515.00000
9.20000,62.00000
7.90000,81.00000
9.80000,111.00000
7.20000,500.00000
8.40000,26.00000
8.50000,38.00000
10.10000,125.00000
8.00000,64.00000
9.00000,26.00000
8.00000,425.00000
9.00000,11.00000
6.70000,627.00000
8.80000,314.00000
8.80000,280.00000
7.70000,490.00000
6.10000,806.00000
9.10000,276.00000
10.30000,110.00000
8.60000,150.00000
9.10000,95.00000
8.00000,409.00000
7.60000,435.00000
9.10000,246.00000
7.50000,386.00000
8.40000,24.00000
8.70000,81.00000
7.90000,40.00000
8.80000,123.00000
3.40000,1640.00000
9.60000,109.00000
8.20000,366.00000
8.00000,470.00000
6.20000,690.00000
9.70000,131.00000
10.00000,287.00000
9.80000,116.00000
8.30000,444.00000
8.40000,4.00000
9.00000,87.00000
6.80000,747.00000
7.30000,588.00000
6.00000,692.00000
8.90000,320.00000
10.40000,193.00000
7.20000,333.00000
9.20000,135.00000
6.20000,795.00000
8.50000,5.00000
9.20000,155.00000
8.60000,155.00000
5.30000,609.00000
8.00000,43.00000
9.20000,170.00000
5.60000,993.00000
