x,y1,y2
0.00000,7.37695,9.59742
2.96296,7.40459,9.62291
5.92593,7.43159,9.64794
8.88889,7.45795,9.67251
11.85185,7.48368,9.69661
14.81481,7.50877,9.72022
17.77778,7.53322,9.74335
20.74074,7.55705,9.76599
23.70370,7.58026,9.78813
26.66667,7.60285,9.80977
29.62963,7.62482,9.83091
32.59259,7.64617,9.85153
35.55556,7.66692,9.87164
38.51852,7.68705,9.89123
41.48148,7.70659,9.91030
44.44444,7.72552,9.92884
47.40741,7.74385,9.94686
50.37037,7.76159,9.96434
53.33333,7.77874,9.98129
56.29630,7.79529,9.99770
59.25926,7.81127,10.01358
62.22222,7.82666,10.02892
65.18519,7.84147,10.04371
68.14815,7.85570,10.05797
71.11111,7.86936,10.07168
74.07407,7.88245,10.08486
77.03704,7.89497,10.09749
80.00000,7.90693,10.10957
82.96296,7.91833,10.12112
85.92593,7.92918,10.13212
88.88889,7.93947,10.14258
91.85185,7.94920,10.15250
94.81481,7.95839,10.16189
97.77778,7.96704,10.17073
100.74074,7.97515,10.17904
103.70370,7.98272,10.18682
106.66667,7.98975,10.19406
109.62963,7.99626,10.20077
112.59259,8.00224,10.20696
115.55556,8.00769,10.21262
118.51852,8.01263,10.21776
121.48148,8.01706,10.22238
124.44444,8.02097,10.22648
127.40741,8.02438,10.23008
130.37037,8.02728,10.23316
133.33333,8.02968,10.23573
136.29630,8.03159,10.23781
139.25926,8.03301,10.23939
142.22222,8.03394,10.24047
145.18519,8.03439,10.24106
148.14815,8.03437,10.24117
151.11111,8.03387,10.24080
154.07407,8.03290,10.23995
157.03704,8.03147,10.23862
160.00000,8.02958,10.23684
162.96296,8.02724,10.23459
165.92593,8.02444,10.23188
168.88889,8.02121,10.22872
171.85185,8.01753,10.22512
174.81481,8.01342,10.22107
177.77778,8.00889,10.21659
180.74074,8.00393,10.21168
183.70370,7.99855,10.20634
186.66667,7.99276,10.20059
189.62963,7.98656,10.19443
192.59259,7.97996,10.18785
195.55556,7.97297,10.18088
198.51852,7.96559,10.17351
201.48148,7.95782,10.16575
204.44444,7.94967,10.15761
207.40741,7.94115,10.14910
210.37037,7.93227,10.14021
213.33333,7.92303,10.13096
216.29630,7.91343,10.12136
219.25926,7.90348,10.11140
222.22222,7.89319,10.10110
225.18519,7.88257,10.09046
228.14815,7.87162,10.07949
231.11111,7.86034,10.06819
234.07407,7.84875,10.05658
237.03704,7.83685,10.04466
240.00000,7.82465,10.03243
242.96296,7.81215,10.01991
245.92593,7.79936,10.00709
248.88889,7.78628,9.99399
251.85185,7.77293,9.98061
254.81481,7.75931,9.96697
257.77778,7.74542,9.95306
260.74074,7.73128,9.93889
263.70370,7.71689,9.92447
266.66667,7.70226,9.90981
269.62963,7.68738,9.89492
272.59259,7.67228,9.87980
275.55556,7.65696,9.86445
278.51852,7.64142,9.84889
281.48148,7.62567,9.83312
284.44444,7.60972,9.81715
287.40741,7.59357,9.80098
290.37037,7.57723,9.78463
293.33333,7.56071,9.76809
296.29630,7.54402,9.75138
299.25926,7.52716,9.73451
302.22222,7.51013,9.71747
305.18519,7.49295,9.70028
308.14815,7.47562,9.68294
311.11111,7.45815,9.66547
314.07407,7.44055,9.64785
317.03704,7.42281,9.63012
320.00000,7.40496,9.61226
322.96296,7.38699,9.59428
325.92593,7.36891,9.57620
328.88889,7.35073,9.55802
331.85185,7.33245,9.53975
334.81481,7.31408,9.52138
337.77778,7.29563,9.50294
340.74074,7.27711,9.48442
343.70370,7.25851,9.46582
346.66667,7.23985,9.44717
349.62963,7.22113,9.42846
352.59259,7.20235,9.40970
355.55556,7.18353,9.39089
358.51852,7.16467,9.37205
361.48148,7.14578,9.35317
364.44444,7.12686,9.33426
367.40741,7.10791,9.31534
370.37037,7.08895,9.29639
373.33333,7.06997,9.27744
376.29630,7.05099,9.25848
379.25926,7.03201,9.23952
382.22222,7.01303,9.22057
385.18519,6.99407,9.20163
388.14815,6.97511,9.18271
391.11111,6.95618,9.16380
394.07407,6.93727,9.14493
397.03704,6.91839,9.12608
400.00000,6.89955,9.10727
402.96296,6.88074,9.08851
405.92593,6.86198,9.06978
408.88889,6.84327,9.05111
411.85185,6.82461,9.03250
414.81481,6.80601,9.01394
417.77778,6.78747,8.99544
420.74074,6.76900,8.97702
423.70370,6.75059,8.95866
426.66667,6.73226,8.94038
429.62963,6.71400,8.92218
432.59259,6.69583,8.90407
435.55556,6.67774,8.88604
438.51852,6.65974,8.86810
441.48148,6.64183,8.85025
444.44444,6.62402,8.83251
447.40741,6.60630,8.81486
450.37037,6.58869,8.79731
453.33333,6.57118,8.77988
456.29630,6.55378,8.76255
459.25926,6.53648,8.74533
462.22222,6.51930,8.72823
465.18519,6.50223,8.71125
468.14815,6.48528,8.69438
471.11111,6.46845,8.67764
474.07407,6.45175,8.66103
477.03704,6.43516,8.64453
480.00000,6.41870,8.62817
482.96296,6.40237,8.61194
485.92593,6.38617,8.59584
488.88889,6.37010,8.57987
491.85185,6.35416,8.56404
494.81481,6.33836,8.54835
497.77778,6.32269,8.53279
500.74074,6.30715,8.51737
503.70370,6.29176,8.50209
506.66667,6.27650,8.48696
509.62963,6.26138,8.47196
512.59259,6.24640,8.45711
515.55556,6.23156,8.44240
518.51852,6.21686,8.42783
521.48148,6.20231,8.41341
524.44444,6.18789,8.39913
527.40741,6.17362,8.38499
530.37037,6.15949,8.37100
533.33333,6.14550,8.35715
536.29630,6.13165,8.34345
539.25926,6.11794,8.32989
542.22222,6.10437,8.31647
545.18519,6.09095,8.30319
548.14815,6.07766,8.29006
551.11111,6.06451,8.27707
554.07407,6.05150,8.26422
557.03704,6.03863,8.25150
560.00000,6.02590,8.23893
562.96296,6.01330,8.22649
565.92593,6.00083,8.21418
568.88889,5.98850,8.20202
571.85185,5.97630,8.18998
574.81481,5.96422,8.17807
577.77778,5.95228,8.16630
580.74074,5.94047,8.15465
583.70370,5.92877,8.14313
586.66667,5.91721,8.13173
589.62963,5.90576,8.12046
592.59259,5.89443,8.10930
595.55556,5.88322,8.09826
598.51852,5.87213,8.08734
601.48148,5.86114,8.07653
604.44444,5.85027,8.06583
607.40741,5.83951,8.05524
610.37037,5.82885,8.04476
613.33333,5.81829,8.03438
616.29630,5.80784,8.02410
619.25926,5.79748,8.01391
622.22222,5.78722,8.00382
625.18519,5.77705,7.99383
628.14815,5.76696,7.98392
631.11111,5.75697,7.97410
634.07407,5.74705,7.96436
637.03704,5.73722,7.95470
640.00000,5.72746,7.94512
642.96296,5.71778,7.93561
645.92593,5.70817,7.92617
648.88889,5.69862,7.91679
651.85185,5.68914,7.90748
654.81481,5.67972,7.89823
657.77778,5.67036,7.88904
660.74074,5.66104,7.87990
663.70370,5.65178,7.87081
666.66667,5.64257,7.86176
669.62963,5.63339,7.85276
672.59259,5.62426,7.84380
675.55556,5.61516,7.83487
678.51852,5.60609,7.82597
681.48148,5.59705,7.81710
684.44444,5.58803,7.80825
687.40741,5.57904,7.79943
690.37037,5.57006,7.79062
693.33333,5.56109,7.78182
696.29630,5.55213,7.77304
699.25926,5.54318,7.76425
702.22222,5.53423,7.75547
705.18519,5.52527,7.74669
708.14815,5.51631,7.73790
711.11111,5.50734,7.72911
714.07407,5.49835,7.72030
717.03704,5.48935,7.71147
720.00000,5.48032,7.70262
722.96296,5.47127,7.69375
725.92593,5.46218,7.68485
728.88889,5.45307,7.67591
731.85185,5.44391,7.66694
734.81481,5.43472,7.65794
737.77778,5.42547,7.64889
740.74074,5.41618,7.63979
743.70370,5.40684,7.63064
746.66667,5.39744,7.62144
749.62963,5.38798,7.61219
752.59259,5.37846,7.60287
755.55556,5.36886,7.59349
758.51852,5.35920,7.58404
761.48148,5.34946,7.57452
764.44444,5.33965,7.56493
767.40741,5.32975,7.55526
770.37037,5.31976,7.54551
773.33333,5.30969,7.53567
776.29630,5.29953,7.52575
779.25926,5.28927,7.51574
782.22222,5.27891,7.50564
785.18519,5.26844,7.49544
788.14815,5.25788,7.48514
791.11111,5.24720,7.47474
794.07407,5.23642,7.46424
797.03704,5.22551,7.45363
800.00000,5.21450,7.44291
802.96296,5.20336,7.43208
805.92593,5.19209,7.42113
808.88889,5.18070,7.41007
811.85185,5.16919,7.39888
814.81481,5.15754,7.38758
817.77778,5.14576,7.37615
820.74074,5.13384,7.36460
823.70370,5.12178,7.35291
826.66667,5.10958,7.34110
829.62963,5.09724,7.32915
832.59259,5.08475,7.31707
835.55556,5.07211,7.30486
838.51852,5.05932,7.29250
841.48148,5.04639,7.28001
844.44444,5.03329,7.26738
847.40741,5.02004,7.25460
850.37037,5.00664,7.24168
853.33333,4.99308,7.22862
856.29630,4.97935,7.21541
859.25926,4.96546,7.20205
862.22222,4.95141,7.18855
865.18519,4.93720,7.17490
868.14815,4.92282,7.16110
