x,y
205.00000,9.70000
46.00000,8.20000
794.00000,6.40000
325.00000,8.10000
500.00000,6.20000
215.00000,9.40000
383.00000,7.80000
54.00000,8.30000
630.00000,6.60000
413.00000,8.30000
481.00000,7.50000
42.00000,7.90000
242.00000,8.40000
164.00000,8.50000
462.00000,8.00000
560.00000,7.60000
4.00000,8.40000
622.00000,7.20000
239.00000,8.50000
40.00000,8.60000
330.00000,7.70000
789.00000,6.60000
450.00000,8.00000
40.00000,8.80000
252.00000,9.80000
445.00000,7.00000
60.00000,8.80000
58.00000,8.90000
36.00000,9.30000
49.00000,9.40000
84.00000,9.20000
120.00000,10.10000
363.00000,8.80000
290.00000,7.70000
412.00000,7.50000
80.00000,10.00000
21.00000,9.40000
45.00000,8.30000
15.00000,8.40000
62.00000,10.20000
875.00000,6.80000
5.00000,9.10000
373.00000,8.30000
1.00000,8.80000
9.00000,8.10000
607.00000,5.90000
88.00000,8.80000
5.00000,8.80000
7.00000,9.00000
1142.00000,2.90000
549.00000,7.80000
310.00000,7.80000
340.00000,8.10000
77.00000,7.80000
68.00000,9.20000
39.00000,8.90000
396.00000,7.90000
418.00000,7.90000
566.00000,6.20000
69.00000,8.90000
5.00000,8.90000
133.00000,10.00000
480.00000,7.90000
696.00000,7.40000
97.00000,8.50000
677.00000,7.00000
227.00000,8.90000
192.00000,8.30000
692.00000,6.90000
37.00000,10.30000
37.00000,10.30000
123.00000,8.80000
146.00000,8.50000
460.00000,7.70000
85.00000,9.80000
12.00000,9.10000
0.00000,8.80000
144.00000,8.60000
705.00000,6.80000
600.00000,6.80000
443.60000,7.80000
18.00000,8.30000
316.00000,7.90000
408.00000,8.80000
270.00000,8.60000
234.00000,10.10000
150.00000,9.60000
1486.00000,3.30000
1213.00000,2.90000
45.00000,8.20000
112.00000,9.70000
125.00000,9.70000
48.00000,8.70000
481.00000,9.10000
2.00000,8.40000
797.00000,6.60000
928.00000,5.90000
523.00000,6.70000
394.00000,9.10000
8.00000,8.70000
255.00000,8.00000
47.00000,8.50000
719.00000,6.50000
118.00000,9.90000
35.00000,8.60000
311.00000,7.80000
90.00000,10.00000
186.00000,9.10000
2.00000,8.50000
238.00000,8.20000
173.00000,8.70000
58.00000,8.10000
27.00000,8.30000
6.00000,8.10000
40.00000,7.80000
42.00000,8.70000
1436.00000,2.70000
55.00000,7.90000
300.00000,7.40000
567.00000,6.10000
93.00000,9.10000
11.00000,8.60000
22.00000,9.40000
18.00000,9.00000
59.00000,8.90000
269.00000,8.50000
404.00000,6.80000
111.00000,10.60000
500.00000,6.80000
