residuals,dependent_var
0.64793,205.00000
-0.63679,46.00000
0.04941,794.00000
-0.37822,325.00000
-1.21612,500.00000
0.37836,215.00000
-0.31183,383.00000
-0.58377,54.00000
-0.26924,630.00000
0.37865,413.00000
-0.01793,481.00000
-0.91176,42.00000
-0.52013,242.00000
-0.63000,164.00000
0.37495,462.00000
0.46759,560.00000
-0.12292,4.00000
0.30372,622.00000
-0.43270,239.00000
-0.19886,40.00000
-0.74753,330.00000
0.23151,789.00000
0.30481,450.00000
0.00114,40.00000
0.92390,252.00000
-0.72494,445.00000
-0.11632,60.00000
-0.00572,58.00000
0.52771,36.00000
0.54511,49.00000
0.17639,84.00000
0.98248,120.00000
0.56022,363.00000
-0.98298,290.00000
-0.42762,412.00000
0.99175,80.00000
0.73647,21.00000
-0.53063,45.00000
-0.21600,15.00000
1.27335,62.00000
0.79124,875.00000
0.56830,5.00000
0.12416,373.00000
0.30379,1.00000
-0.46618,9.00000
-1.04884,607.00000
-0.23797,88.00000
0.26830,5.00000
0.45094,7.00000
-1.30697,1142.00000
0.61991,549.00000
-0.76838,310.00000
-0.28540,340.00000
-1.19608,77.00000
0.24386,68.00000
0.10768,39.00000
-0.12884,396.00000
0.00993,418.00000
-0.90720,566.00000
-0.06083,69.00000
0.36830,5.00000
0.86755,133.00000
0.37656,480.00000
0.73653,696.00000
-0.56664,97.00000
0.27937,677.00000
-0.07984,227.00000
-0.78526,192.00000
0.22455,692.00000
1.52097,37.00000
1.52097,37.00000
-0.32184,123.00000
-0.63779,146.00000
0.06339,460.00000
0.77271,85.00000
0.50863,12.00000
0.31282,0.00000
-0.53758,144.00000
0.16346,705.00000
-0.17427,600.00000
0.06668,443.60000
-0.34005,18.00000
-0.63269,316.00000
0.84721,408.00000
-0.18927,270.00000
1.14704,234.00000
0.46245,150.00000
0.36886,1486.00000
-0.82563,1213.00000
-0.63063,45.00000
0.59658,112.00000
0.57558,125.00000
-0.14892,48.00000
1.58207,481.00000
-0.10518,2.00000
0.26029,797.00000
0.17723,928.00000
-0.60049,523.00000
1.05843,394.00000
0.14235,8.00000
-0.86228,255.00000
-0.34289,47.00000
-0.09449,719.00000
0.78565,118.00000
-0.16549,35.00000
-0.76247,311.00000
0.95523,90.00000
0.00199,186.00000
-0.00518,2.00000
-0.73682,238.00000
-0.41980,173.00000
-0.80572,58.00000
-0.40876,27.00000
-0.44041,6.00000
-0.99886,40.00000
-0.11176,42.00000
-0.25216,1436.00000
-0.98935,55.00000
-1.22659,300.00000
-1.00305,567.00000
0.04548,93.00000
0.01696,11.00000
0.72877,22.00000
0.35995,18.00000
-0.01105,59.00000
-0.29433,269.00000
-1.17806,404.00000
1.49861,111.00000
-0.61612,500.00000
0.26291,496.00000
0.57708,4.00000
-0.23650,140.00000
-0.30518,2.00000
0.30392,77.00000
0.17755,350.00000
-0.36699,530.00000
-0.07908,272.00000
1.02839,1053.00000
-0.36892,883.00000
0.89982,1008.00000
-0.70305,567.00000
-1.22013,242.00000
1.08590,977.00000
-0.63210,17.00000
-0.22786,128.00000
-0.85497,440.00000
0.46844,1125.00000
-0.16706,438.00000
-0.31408,3.00000
-0.97903,37.00000
0.18444,712.00000
0.16396,155.00000
0.05094,7.00000
0.55192,91.00000
-0.28764,75.00000
-1.27386,839.00000
0.61073,270.00000
-0.09026,505.00000
-0.78518,487.00000
-0.36944,374.00000
1.19658,112.00000
-0.46470,231.00000
0.36909,585.00000
0.26346,705.00000
-0.20876,27.00000
-0.22292,4.00000
-0.12661,282.00000
-0.71010,805.00000
0.76321,46.00000
0.75926,973.00000
0.54867,92.00000
0.11384,754.00000
-0.09631,417.00000
0.77418,850.00000
1.46308,443.00000
0.08635,776.00000
0.41958,102.00000
0.38492,520.00000
0.32081,436.00000
0.19161,747.00000
0.16830,5.00000
-0.21597,119.00000
-1.12659,300.00000
-0.25716,344.50000
-0.64906,7.00000
-0.36618,9.00000
-0.42701,365.00000
-0.78439,356.00000
-0.03562,138.00000
-0.33685,141.00000
0.72670,758.00000
-0.16008,818.00000
1.97559,44.00000
0.18416,284.00000
0.20003,185.00000
-0.46952,98.00000
1.02086,341.00000
0.72877,22.00000
-0.23507,157.00000
0.24867,92.00000
-0.30138,26.00000
0.32877,22.00000
-0.53248,161.00000
-0.43170,5.00000
-0.03210,17.00000
0.16908,444.00000
0.49428,58.00000
0.31696,11.00000
-0.29189,76.00000
-0.08384,419.00000
1.13630,96.00000
-0.19801,186.00000
-0.38896,547.00000
-0.79519,450.00000
-0.99608,77.00000
-0.85060,313.00000
0.60029,621.00000
-0.41176,42.00000
0.02826,405.00000
0.92606,273.00000
-0.63173,63.00000
0.76026,515.00000
0.52352,528.00000
1.76026,515.00000
0.27335,62.00000
-1.11219,81.00000
0.69861,111.00000
-0.21612,500.00000
-0.30138,26.00000
-0.28571,38.00000
0.97558,125.00000
-0.93674,64.00000
0.29862,26.00000
0.15339,425.00000
0.41696,11.00000
-0.17930,627.00000
0.25536,314.00000
0.06270,280.00000
0.23099,490.00000
-0.20633,806.00000
0.34162,276.00000
1.20070,110.00000
-0.53755,150.00000
0.03930,95.00000
0.05351,409.00000
-0.18527,435.00000
0.19710,246.00000
-0.59264,386.00000
-0.28643,24.00000
-0.31219,81.00000
-0.89886,40.00000
-0.32184,123.00000
0.46587,1640.00000
0.50284,109.00000
-0.02062,366.00000
0.42067,470.00000
-0.48145,690.00000
0.56921,131.00000
1.30049,287.00000
0.68905,116.00000
0.56908,444.00000
-0.12292,4.00000
-0.03447,87.00000
0.29161,747.00000
0.28066,588.00000
-0.67545,692.00000
0.39139,320.00000
1.31703,193.00000
-1.22899,333.00000
0.06611,135.00000
-0.14698,795.00000
-0.03170,5.00000
0.06396,155.00000
-0.53604,155.00000
-1.64168,609.00000
-0.81812,43.00000
0.07635,170.00000
0.29475,993.00000
-1.26911,937.00000
0.54735,635.00000
0.28300,616.00000
-0.61430,265.00000
-1.19540,504.00000
0.37299,365.00000
-0.03092,444.00000
0.44221,792.00000
-0.51105,59.00000
-0.16353,21.00000
-0.59801,186.00000
-0.73457,611.00000
-0.25892,360.00000
-0.59608,77.00000
-0.82701,365.00000
-0.33781,147.00000
-0.13447,87.00000
0.25117,734.00000
-0.02245,350.00000
1.39503,286.00000
0.93753,311.00000
0.70293,401.00000
1.21763,837.00000
-0.73679,46.00000
-0.12152,61.00000
0.37116,396.00000
-0.33307,870.00000
-0.54352,846.00000
-0.19650,781.00000
0.36371,640.00000
-0.30825,80.00000
0.03382,9.00000
0.44850,700.00000
0.76242,144.00000
0.28570,265.00000
1.23099,490.00000
-0.36079,50.00000
0.81339,571.00000
0.42632,471.00000
-0.47743,291.00000
-0.72854,240.00000
-0.06663,51.00000
1.10561,223.00000
-0.71550,176.00000
-0.03102,380.00000
-0.05091,940.00000
-0.86545,70.00000
-0.96350,921.00000
-0.36706,438.00000
-0.07933,470.00000
0.46221,146.00000
0.63747,553.00000
0.94503,440.00000
0.59168,219.00000
0.23481,422.00000
-0.27566,1832.00000
-0.03650,140.00000
-0.21408,3.00000
0.66285,142.00000
0.66971,740.00000
-0.65048,580.00000
-0.80853,681.00000
-0.38796,105.00000
-0.43245,133.00000
-0.11354,464.00000
0.72257,291.00000
-0.09621,1.00000
0.30063,268.00000
-1.69891,877.00000
-0.08038,2960.00000
-0.72049,615.00000
