residuals,dependent_var
50.46011,9.70000
-160.71101,8.20000
59.79732,6.40000
91.75378,8.10000
-256.31514,6.20000
75.05895,9.40000
53.66996,7.80000
-129.56623,8.30000
-73.26385,6.60000
229.43377,8.30000
42.02528,7.50000
-253.02962,7.90000
77.95405,8.40000
15.73126,8.50000
199.16920,8.00000
158.08343,7.60000
-160.04595,8.40000
75.97687,7.20000
90.73126,8.50000
-96.23373,8.60000
-35.16139,7.70000
85.73615,6.60000
187.16920,8.00000
-82.79969,8.80000
95.15828,9.80000
-163.87997,7.00000
-62.79969,8.80000
-62.83332,8.90000
-98.10201,9.30000
-90.94105,9.40000
-44.69412,9.20000
-31.45232,10.10000
240.20031,8.80000
-75.16139,7.70000
-26.97472,7.50000
-75.49462,10.00000
-118.94105,9.40000
-138.56623,8.30000
-149.04595,8.40000
-83.05933,10.20000
213.34633,6.80000
-119.30104,9.10000
189.43377,8.30000
-121.79969,8.80000
-224.24622,8.10000
-172.22098,5.90000
-34.79969,8.80000
-117.79969,8.80000
-114.49873,9.00000
-269.28566,2.90000
219.66996,7.80000
-19.33004,7.80000
106.75378,8.10000
-252.33004,7.80000
-60.69412,9.20000
-81.83332,8.90000
100.97038,7.90000
122.97038,7.90000
-190.31514,6.20000
-51.83332,8.90000
-115.83332,8.90000
-22.49462,10.00000
184.97038,7.90000
220.27601,7.40000
-51.26874,8.50000
68.12003,7.00000
106.16668,8.90000
8.43377,8.30000
55.36731,6.90000
-99.35243,10.30000
-99.35243,10.30000
0.20031,8.80000
-2.26874,8.50000
94.83861,7.70000
-71.84172,9.80000
-112.30104,9.10000
-122.79969,8.80000
7.76627,8.60000
43.34633,6.80000
-61.65367,6.80000
114.26996,7.80000
-165.56623,8.30000
20.97038,7.90000
285.20031,8.80000
133.76627,8.60000
82.54768,10.10000
-0.66863,9.60000
161.08906,3.30000
-198.28566,2.90000
-161.71101,8.20000
-42.53989,9.70000
-29.53989,9.70000
-79.82148,8.70000
356.69896,9.10000
-162.04595,8.40000
93.73615,6.60000
148.77902,5.90000
-160.85874,6.70000
269.69896,9.10000
-119.82148,8.70000
-7.83080,8.00000
-101.26874,8.50000
-0.97965,6.50000
-39.24118,9.90000
-101.23373,8.60000
-18.33004,7.80000
-65.49462,10.00000
61.69896,9.10000
-146.26874,8.50000
31.28899,8.20000
45.17852,8.70000
-175.24622,8.10000
-156.56623,8.30000
-227.24622,8.10000
-289.33004,7.80000
-85.82148,8.70000
-2.60335,2.70000
-240.02962,7.90000
-175.72399,7.40000
-197.91400,6.10000
-31.30104,9.10000
-125.23373,8.60000
-117.94105,9.40000
-103.49873,9.00000
-61.83332,8.90000
120.73126,8.50000
-257.65367,6.80000
13.05879,10.60000
-161.65367,6.80000
130.83861,7.70000
-120.30104,9.10000
19.16668,8.90000
-204.71101,8.20000
-57.10201,9.30000
201.73126,8.50000
-106.63269,6.90000
144.17852,8.70000
273.77902,5.90000
83.29108,5.60000
243.08600,6.10000
-167.20268,6.40000
-123.16139,7.70000
257.02035,6.50000
-245.83080,8.00000
7.16668,8.90000
-196.63269,6.90000
217.00052,4.80000
36.08343,7.60000
-203.71101,8.20000
-292.33004,7.80000
50.34633,6.80000
20.89799,9.30000
-129.23373,8.60000
-59.66863,9.60000
-52.82148,8.70000
-49.20744,4.90000
130.05895,9.40000
-6.58345,7.30000
-196.85874,6.70000
44.66996,7.80000
-24.35243,10.30000
82.73126,8.50000
109.27601,7.40000
68.36731,6.90000
-121.26874,8.50000
-179.56623,8.30000
145.76627,8.60000
5.29108,5.60000
-104.66863,9.60000
216.68486,6.20000
-58.66863,9.60000
50.73615,6.60000
87.66996,7.80000
213.36731,6.90000
314.30588,9.20000
56.02035,6.50000
-43.64162,9.50000
154.83861,7.70000
202.75378,8.10000
63.14126,6.70000
-122.82148,8.70000
-1.83332,8.90000
-138.97472,7.50000
111.25378,8.10000
-288.02962,7.90000
-197.71101,8.20000
35.66996,7.80000
-82.97472,7.50000
13.69896,9.10000
