x,y1,y2
43.00000,0.94382,2.59203
43.05305,0.95023,2.59305
43.10611,0.95657,2.59412
43.15916,0.96283,2.59523
43.21221,0.96901,2.59639
43.26527,0.97511,2.59759
43.31832,0.98114,2.59884
43.37137,0.98708,2.60013
43.42442,0.99295,2.60145
43.47748,0.99875,2.60282
43.53053,1.00446,2.60423
43.58358,1.01011,2.60567
43.63664,1.01567,2.60715
43.68969,1.02117,2.60866
43.74274,1.02659,2.61021
43.79580,1.03193,2.61179
43.84885,1.03721,2.61340
43.90190,1.04241,2.61504
43.95495,1.04755,2.61670
44.00801,1.05261,2.61840
44.06106,1.05760,2.62012
44.11411,1.06252,2.62187
44.16717,1.06738,2.62364
44.22022,1.07216,2.62543
44.27327,1.07688,2.62725
44.32633,1.08154,2.62909
44.37938,1.08612,2.63094
44.43243,1.09064,2.63281
44.48549,1.09510,2.63470
44.53854,1.09949,2.63661
44.59159,1.10382,2.63853
44.64464,1.10809,2.64046
44.69770,1.11229,2.64241
44.75075,1.11643,2.64437
44.80380,1.12051,2.64633
44.85686,1.12453,2.64831
44.90991,1.12849,2.65030
44.96296,1.13239,2.65229
45.01602,1.13623,2.65428
45.06907,1.14002,2.65629
45.12212,1.14374,2.65829
45.17518,1.14741,2.66030
45.22823,1.15102,2.66231
45.28128,1.15458,2.66432
45.33433,1.15808,2.66633
45.38739,1.16152,2.66834
45.44044,1.16491,2.67035
45.49349,1.16825,2.67235
45.54655,1.17153,2.67435
45.59960,1.17476,2.67635
45.65265,1.17794,2.67834
45.70571,1.18107,2.68032
45.75876,1.18414,2.68229
45.81181,1.18717,2.68426
45.86486,1.19014,2.68621
45.91792,1.19306,2.68816
45.97097,1.19594,2.69010
46.02402,1.19876,2.69202
46.07708,1.20154,2.69393
46.13013,1.20427,2.69583
46.18318,1.20695,2.69771
46.23624,1.20958,2.69958
46.28929,1.21216,2.70143
46.34234,1.21470,2.70327
46.39540,1.21720,2.70509
46.44845,1.21964,2.70689
46.50150,1.22205,2.70868
46.55455,1.22440,2.71044
46.60761,1.22672,2.71219
46.66066,1.22898,2.71392
46.71371,1.23121,2.71562
46.76677,1.23339,2.71731
46.81982,1.23553,2.71897
46.87287,1.23762,2.72061
46.92593,1.23968,2.72223
46.97898,1.24169,2.72383
47.03203,1.24365,2.72540
47.08509,1.24558,2.72695
47.13814,1.24747,2.72847
47.19119,1.24931,2.72997
47.24424,1.25111,2.73144
47.29730,1.25288,2.73289
47.35035,1.25460,2.73431
47.40340,1.25628,2.73571
47.45646,1.25793,2.73708
47.50951,1.25953,2.73842
47.56256,1.26110,2.73973
47.61562,1.26263,2.74102
47.66867,1.26412,2.74228
47.72172,1.26557,2.74351
47.77477,1.26698,2.74471
47.82783,1.26835,2.74588
47.88088,1.26969,2.74703
47.93393,1.27099,2.74814
47.98699,1.27226,2.74923
48.04004,1.27348,2.75028
48.09309,1.27467,2.75131
48.14615,1.27583,2.75231
48.19920,1.27695,2.75327
48.25225,1.27803,2.75421
48.30531,1.27908,2.75512
48.35836,1.28009,2.75600
48.41141,1.28107,2.75684
48.46446,1.28201,2.75766
48.51752,1.28292,2.75844
48.57057,1.28379,2.75920
48.62362,1.28463,2.75992
48.67668,1.28544,2.76062
48.72973,1.28621,2.76128
48.78278,1.28695,2.76191
48.83584,1.28766,2.76252
48.88889,1.28833,2.76309
48.94194,1.28897,2.76363
48.99499,1.28958,2.76414
49.04805,1.29016,2.76463
49.10110,1.29070,2.76508
49.15415,1.29122,2.76550
49.20721,1.29170,2.76589
49.26026,1.29215,2.76625
49.31331,1.29257,2.76659
49.36637,1.29296,2.76689
49.41942,1.29332,2.76716
49.47247,1.29365,2.76741
49.52553,1.29394,2.76762
49.57858,1.29421,2.76781
49.63163,1.29445,2.76797
49.68468,1.29467,2.76810
49.73774,1.29485,2.76820
49.79079,1.29500,2.76827
49.84384,1.29513,2.76832
49.89690,1.29523,2.76834
49.94995,1.29530,2.76833
50.00300,1.29534,2.76829
50.05606,1.29536,2.76823
50.10911,1.29535,2.76814
50.16216,1.29531,2.76802
50.21522,1.29525,2.76788
50.26827,1.29516,2.76772
50.32132,1.29504,2.76752
50.37437,1.29490,2.76731
50.42743,1.29474,2.76707
50.48048,1.29455,2.76680
50.53353,1.29434,2.76651
50.58659,1.29410,2.76620
50.63964,1.29384,2.76586
50.69269,1.29356,2.76550
50.74575,1.29326,2.76512
50.79880,1.29293,2.76472
50.85185,1.29258,2.76429
50.90490,1.29221,2.76385
50.95796,1.29182,2.76338
51.01101,1.29140,2.76289
51.06406,1.29097,2.76239
51.11712,1.29052,2.76186
51.17017,1.29004,2.76131
51.22322,1.28955,2.76075
51.27628,1.28904,2.76016
51.32933,1.28851,2.75956
51.38238,1.28796,2.75895
51.43544,1.28740,2.75831
51.48849,1.28681,2.75766
51.54154,1.28621,2.75699
51.59459,1.28560,2.75631
51.64765,1.28497,2.75561
51.70070,1.28432,2.75490
51.75375,1.28366,2.75417
51.80681,1.28299,2.75343
51.85986,1.28230,2.75268
51.91291,1.28159,2.75191
51.96597,1.28088,2.75114
52.01902,1.28015,2.75035
52.07207,1.27941,2.74955
52.12513,1.27866,2.74874
