x,y
79.00000,3.60000
54.00000,1.80000
74.00000,3.33300
62.00000,2.28300
85.00000,4.53300
55.00000,2.88300
88.00000,4.70000
85.00000,3.60000
51.00000,1.95000
85.00000,4.35000
54.00000,1.83300
84.00000,3.91700
78.00000,4.20000
47.00000,1.75000
83.00000,4.70000
52.00000,2.16700
62.00000,1.75000
84.00000,4.80000
52.00000,1.60000
79.00000,4.25000
51.00000,1.80000
47.00000,1.75000
78.00000,3.45000
69.00000,3.06700
74.00000,4.53300
83.00000,3.60000
55.00000,1.96700
76.00000,4.08300
78.00000,3.85000
79.00000,4.43300
73.00000,4.30000
77.00000,4.46700
66.00000,3.36700
80.00000,4.03300
74.00000,3.83300
52.00000,2.01700
48.00000,1.86700
80.00000,4.83300
59.00000,1.83300
90.00000,4.78300
80.00000,4.35000
58.00000,1.88300
84.00000,4.56700
58.00000,1.75000
73.00000,4.53300
83.00000,3.31700
64.00000,3.83300
53.00000,2.10000
82.00000,4.63300
59.00000,2.00000
75.00000,4.80000
90.00000,4.71600
54.00000,1.83300
80.00000,4.83300
54.00000,1.73300
83.00000,4.88300
71.00000,3.71700
64.00000,1.66700
77.00000,4.56700
81.00000,4.31700
59.00000,2.23300
84.00000,4.50000
48.00000,1.75000
82.00000,4.80000
60.00000,1.81700
92.00000,4.40000
78.00000,4.16700
78.00000,4.70000
65.00000,2.06700
73.00000,4.70000
82.00000,4.03300
56.00000,1.96700
79.00000,4.50000
71.00000,4.00000
62.00000,1.98300
76.00000,5.06700
60.00000,2.01700
78.00000,4.56700
76.00000,3.88300
83.00000,3.60000
75.00000,4.13300
82.00000,4.33300
70.00000,4.10000
65.00000,2.63300
73.00000,4.06700
88.00000,4.93300
76.00000,3.95000
80.00000,4.51700
48.00000,2.16700
86.00000,4.00000
60.00000,2.20000
90.00000,4.33300
50.00000,1.86700
78.00000,4.81700
63.00000,1.83300
72.00000,4.30000
84.00000,4.66700
75.00000,3.75000
51.00000,1.86700
82.00000,4.90000
62.00000,2.48300
88.00000,4.36700
49.00000,2.10000
83.00000,4.50000
81.00000,4.05000
47.00000,1.86700
84.00000,4.70000
52.00000,1.78300
86.00000,4.85000
81.00000,3.68300
75.00000,4.73300
59.00000,2.30000
89.00000,4.90000
79.00000,4.41700
59.00000,1.70000
81.00000,4.63300
50.00000,2.31700
85.00000,4.60000
59.00000,1.81700
87.00000,4.41700
53.00000,2.61700
69.00000,4.06700
77.00000,4.25000
56.00000,1.96700
88.00000,4.60000
81.00000,3.76700
45.00000,1.91700
82.00000,4.50000
55.00000,2.26700
90.00000,4.65000
45.00000,1.86700
83.00000,4.16700
56.00000,2.80000
89.00000,4.33300
46.00000,1.83300
82.00000,4.38300
51.00000,1.88300
86.00000,4.93300
53.00000,2.03300
79.00000,3.73300
81.00000,4.23300
60.00000,2.23300
82.00000,4.53300
77.00000,4.81700
76.00000,4.33300
59.00000,1.98300
80.00000,4.63300
49.00000,2.01700
96.00000,5.10000
53.00000,1.80000
77.00000,5.03300
77.00000,4.00000
65.00000,2.40000
81.00000,4.60000
71.00000,3.56700
70.00000,4.00000
81.00000,4.50000
93.00000,4.08300
53.00000,1.80000
89.00000,3.96700
45.00000,2.20000
86.00000,4.15000
58.00000,2.00000
78.00000,3.83300
66.00000,3.50000
76.00000,4.58300
63.00000,2.36700
88.00000,5.00000
52.00000,1.93300
93.00000,4.61700
49.00000,1.91700
57.00000,2.08300
77.00000,4.58300
68.00000,3.33300
81.00000,4.16700
81.00000,4.33300
73.00000,4.50000
50.00000,2.41700
85.00000,4.00000
74.00000,4.16700
55.00000,1.88300
77.00000,4.58300
83.00000,4.25000
83.00000,3.76700
51.00000,2.03300
78.00000,4.43300
84.00000,4.08300
46.00000,1.83300
83.00000,4.41700
55.00000,2.18300
81.00000,4.80000
57.00000,1.83300
76.00000,4.80000
84.00000,4.10000
77.00000,3.96600
81.00000,4.23300
87.00000,3.50000
77.00000,4.36600
51.00000,2.25000
78.00000,4.66700
60.00000,2.10000
82.00000,4.35000
91.00000,4.13300
53.00000,1.86700
78.00000,4.60000
46.00000,1.78300
77.00000,4.36700
84.00000,3.85000
49.00000,1.93300
83.00000,4.50000
71.00000,2.38300
80.00000,4.70000
49.00000,1.86700
75.00000,3.83300
64.00000,3.41700
76.00000,4.23300
53.00000,2.40000
94.00000,4.80000
55.00000,2.00000
76.00000,4.15000
50.00000,1.86700
82.00000,4.26700
54.00000,1.75000
75.00000,4.48300
78.00000,4.00000
79.00000,4.11700
78.00000,4.08300
78.00000,4.26700
70.00000,3.91700
79.00000,4.55000
70.00000,4.08300
54.00000,2.41700
86.00000,4.18300
50.00000,2.21700
90.00000,4.45000
54.00000,1.88300
54.00000,1.85000
77.00000,4.28300
79.00000,3.95000
64.00000,2.33300
75.00000,4.15000
47.00000,2.35000
86.00000,4.93300
63.00000,2.90000
85.00000,4.58300
82.00000,3.83300
57.00000,2.08300
82.00000,4.36700
67.00000,2.13300
74.00000,4.35000
54.00000,2.20000
83.00000,4.45000
73.00000,3.56700
73.00000,4.50000
88.00000,4.15000
80.00000,3.81700
71.00000,3.91700
83.00000,4.45000
56.00000,2.00000
79.00000,4.28300
78.00000,4.76700
84.00000,4.53300
58.00000,1.85000
83.00000,4.25000
43.00000,1.98300
60.00000,2.25000
75.00000,4.75000
81.00000,4.11700
46.00000,2.15000
90.00000,4.41700
46.00000,1.81700
74.00000,4.46700
