x,y1,y2
1.60000,47.12048,60.17618
1.60350,47.11457,60.15264
1.60701,47.10871,60.12955
1.61051,47.10289,60.10689
1.61401,47.09711,60.08468
1.61752,47.09140,60.06290
1.62102,47.08573,60.04155
1.62452,47.08013,60.02064
1.62803,47.07459,60.00016
1.63153,47.06912,59.98010
1.63504,47.06373,59.96047
1.63854,47.05840,59.94126
1.64204,47.05316,59.92247
1.64555,47.04800,59.90410
1.64905,47.04293,59.88615
1.65255,47.03794,59.86861
1.65606,47.03305,59.85149
1.65956,47.02826,59.83477
1.66306,47.02356,59.81847
1.66657,47.01898,59.80257
1.67007,47.01449,59.78707
1.67357,47.01012,59.77198
1.67708,47.00587,59.75729
1.68058,47.00173,59.74299
1.68408,46.99771,59.72910
1.68759,46.99381,59.71560
1.69109,46.99005,59.70249
1.69459,46.98641,59.68977
1.69810,46.98291,59.67744
1.70160,46.97954,59.66550
1.70511,46.97631,59.65394
1.70861,46.97323,59.64277
1.71211,46.97029,59.63198
1.71562,46.96750,59.62157
1.71912,46.96486,59.61154
1.72262,46.96238,59.60188
1.72613,46.96005,59.59260
1.72963,46.95788,59.58369
1.73313,46.95588,59.57516
1.73664,46.95404,59.56699
1.74014,46.95237,59.55920
1.74364,46.95087,59.55177
1.74715,46.94955,59.54470
1.75065,46.94840,59.53800
1.75415,46.94743,59.53166
1.75766,46.94664,59.52568
1.76116,46.94604,59.52006
1.76466,46.94562,59.51480
1.76817,46.94539,59.50989
1.77167,46.94535,59.50534
1.77518,46.94550,59.50114
1.77868,46.94585,59.49730
1.78218,46.94639,59.49380
1.78569,46.94714,59.49065
1.78919,46.94809,59.48785
1.79269,46.94924,59.48540
1.79620,46.95060,59.48329
1.79970,46.95217,59.48153
1.80320,46.95395,59.48010
1.80671,46.95594,59.47902
1.81021,46.95814,59.47828
1.81371,46.96056,59.47788
1.81722,46.96320,59.47781
1.82072,46.96606,59.47809
1.82422,46.96914,59.47869
1.82773,46.97244,59.47963
1.83123,46.97597,59.48091
1.83473,46.97973,59.48251
1.83824,46.98371,59.48445
1.84174,46.98793,59.48671
1.84525,46.99237,59.48931
1.84875,46.99705,59.49223
1.85225,47.00197,59.49548
1.85576,47.00712,59.49905
1.85926,47.01251,59.50295
1.86276,47.01813,59.50717
1.86627,47.02400,59.51172
1.86977,47.03011,59.51658
1.87327,47.03647,59.52177
1.87678,47.04306,59.52727
1.88028,47.04991,59.53310
1.88378,47.05700,59.53924
1.88729,47.06434,59.54570
1.89079,47.07192,59.55247
1.89429,47.07976,59.55956
1.89780,47.08785,59.56696
