x,y
3.60000,79.00000
1.80000,54.00000
3.33300,74.00000
2.28300,62.00000
4.53300,85.00000
2.88300,55.00000
4.70000,88.00000
3.60000,85.00000
1.95000,51.00000
4.35000,85.00000
1.83300,54.00000
3.91700,84.00000
4.20000,78.00000
1.75000,47.00000
4.70000,83.00000
2.16700,52.00000
1.75000,62.00000
4.80000,84.00000
1.60000,52.00000
4.25000,79.00000
1.80000,51.00000
1.75000,47.00000
3.45000,78.00000
3.06700,69.00000
4.53300,74.00000
3.60000,83.00000
1.96700,55.00000
4.08300,76.00000
3.85000,78.00000
4.43300,79.00000
4.30000,73.00000
4.46700,77.00000
3.36700,66.00000
4.03300,80.00000
3.83300,74.00000
2.01700,52.00000
1.86700,48.00000
4.83300,80.00000
1.83300,59.00000
4.78300,90.00000
4.35000,80.00000
1.88300,58.00000
4.56700,84.00000
1.75000,58.00000
4.53300,73.00000
3.31700,83.00000
3.83300,64.00000
2.10000,53.00000
4.63300,82.00000
2.00000,59.00000
4.80000,75.00000
4.71600,90.00000
1.83300,54.00000
4.83300,80.00000
1.73300,54.00000
4.88300,83.00000
3.71700,71.00000
1.66700,64.00000
4.56700,77.00000
4.31700,81.00000
2.23300,59.00000
4.50000,84.00000
1.75000,48.00000
4.80000,82.00000
1.81700,60.00000
4.40000,92.00000
4.16700,78.00000
4.70000,78.00000
2.06700,65.00000
4.70000,73.00000
4.03300,82.00000
1.96700,56.00000
4.50000,79.00000
4.00000,71.00000
1.98300,62.00000
5.06700,76.00000
2.01700,60.00000
4.56700,78.00000
3.88300,76.00000
3.60000,83.00000
4.13300,75.00000
4.33300,82.00000
4.10000,70.00000
2.63300,65.00000
4.06700,73.00000
4.93300,88.00000
3.95000,76.00000
4.51700,80.00000
2.16700,48.00000
4.00000,86.00000
2.20000,60.00000
4.33300,90.00000
1.86700,50.00000
4.81700,78.00000
1.83300,63.00000
4.30000,72.00000
4.66700,84.00000
3.75000,75.00000
1.86700,51.00000
4.90000,82.00000
2.48300,62.00000
4.36700,88.00000
2.10000,49.00000
4.50000,83.00000
4.05000,81.00000
1.86700,47.00000
4.70000,84.00000
1.78300,52.00000
4.85000,86.00000
3.68300,81.00000
4.73300,75.00000
2.30000,59.00000
4.90000,89.00000
4.41700,79.00000
1.70000,59.00000
4.63300,81.00000
2.31700,50.00000
4.60000,85.00000
1.81700,59.00000
4.41700,87.00000
2.61700,53.00000
4.06700,69.00000
4.25000,77.00000
1.96700,56.00000
4.60000,88.00000
3.76700,81.00000
1.91700,45.00000
4.50000,82.00000
2.26700,55.00000
4.65000,90.00000
1.86700,45.00000
4.16700,83.00000
2.80000,56.00000
4.33300,89.00000
1.83300,46.00000
4.38300,82.00000
1.88300,51.00000
4.93300,86.00000
2.03300,53.00000
3.73300,79.00000
4.23300,81.00000
2.23300,60.00000
4.53300,82.00000
4.81700,77.00000
4.33300,76.00000
1.98300,59.00000
4.63300,80.00000
2.01700,49.00000
5.10000,96.00000
1.80000,53.00000
5.03300,77.00000
4.00000,77.00000
2.40000,65.00000
4.60000,81.00000
3.56700,71.00000
4.00000,70.00000
4.50000,81.00000
4.08300,93.00000
1.80000,53.00000
3.96700,89.00000
2.20000,45.00000
4.15000,86.00000
2.00000,58.00000
3.83300,78.00000
3.50000,66.00000
4.58300,76.00000
2.36700,63.00000
5.00000,88.00000
1.93300,52.00000
4.61700,93.00000
1.91700,49.00000
2.08300,57.00000
4.58300,77.00000
3.33300,68.00000
4.16700,81.00000
4.33300,81.00000
4.50000,73.00000
2.41700,50.00000
4.00000,85.00000
4.16700,74.00000
1.88300,55.00000
4.58300,77.00000
4.25000,83.00000
3.76700,83.00000
2.03300,51.00000
4.43300,78.00000
4.08300,84.00000
1.83300,46.00000
4.41700,83.00000
2.18300,55.00000
4.80000,81.00000
1.83300,57.00000
4.80000,76.00000
4.10000,84.00000
3.96600,77.00000
4.23300,81.00000
3.50000,87.00000
4.36600,77.00000
2.25000,51.00000
4.66700,78.00000
2.10000,60.00000
4.35000,82.00000
4.13300,91.00000
1.86700,53.00000
4.60000,78.00000
1.78300,46.00000
4.36700,77.00000
3.85000,84.00000
1.93300,49.00000
4.50000,83.00000
2.38300,71.00000
4.70000,80.00000
1.86700,49.00000
3.83300,75.00000
3.41700,64.00000
4.23300,76.00000
2.40000,53.00000
4.80000,94.00000
2.00000,55.00000
4.15000,76.00000
1.86700,50.00000
4.26700,82.00000
1.75000,54.00000
4.48300,75.00000
4.00000,78.00000
4.11700,79.00000
4.08300,78.00000
4.26700,78.00000
3.91700,70.00000
4.55000,79.00000
4.08300,70.00000
2.41700,54.00000
4.18300,86.00000
2.21700,50.00000
4.45000,90.00000
1.88300,54.00000
1.85000,54.00000
4.28300,77.00000
3.95000,79.00000
2.33300,64.00000
4.15000,75.00000
2.35000,47.00000
4.93300,86.00000
2.90000,63.00000
4.58300,85.00000
3.83300,82.00000
2.08300,57.00000
4.36700,82.00000
2.13300,67.00000
4.35000,74.00000
2.20000,54.00000
4.45000,83.00000
3.56700,73.00000
4.50000,73.00000
4.15000,88.00000
3.81700,80.00000
3.91700,71.00000
4.45000,83.00000
2.00000,56.00000
4.28300,79.00000
4.76700,78.00000
4.53300,84.00000
1.85000,58.00000
4.25000,83.00000
1.98300,43.00000
2.25000,60.00000
4.75000,75.00000
4.11700,81.00000
2.15000,46.00000
4.41700,90.00000
1.81700,46.00000
4.46700,74.00000
