residuals,dependent_var
3.35948,3.60000
0.78315,1.80000
1.80202,3.33300
6.13021,2.28300
3.85740,4.53300
-9.81786,2.88300
6.15087,4.70000
9.35948,3.60000
-2.47639,1.95000
4.51239,4.35000
0.77024,1.83300
5.56422,3.91700
-1.92196,4.20000
-6.24391,1.75000
1.15087,4.70000
-2.76270,2.16700
8.75609,1.75000
1.62352,4.80000
-1.64833,1.60000
-1.12029,4.25000
-2.21685,1.80000
-6.24391,1.75000
4.17648,3.45000
1.02715,3.06700
-7.14260,4.53300
7.35948,3.60000
1.46151,1.96700
-3.39569,4.08300
0.04123,3.85000
-1.77994,4.43300
-7.30764,4.30000
-3.90067,4.46700
-6.68781,3.36700
0.86348,4.03300
-3.82857,3.83300
-1.75972,2.01700
-5.26898,1.86700
-2.57288,4.83300
5.77024,1.83300
7.72012,4.78300
-0.48761,4.35000
4.70339,1.88300
2.72664,4.56700
4.75609,1.75000
-8.14260,4.53300
11.03719,3.31700
-13.82857,3.83300
-1.25279,2.10000
0.45573,4.63300
5.32195,2.00000
-7.37648,4.80000
8.07277,4.71600
0.77024,1.83300
-2.57288,4.83300
0.73428,1.73300
0.10577,4.88300
-5.83532,3.71700
10.59048,1.66700
-4.27336,4.56700
0.63052,4.31700
3.64110,2.23300
2.97997,4.50000
-5.24391,1.75000
-0.37648,4.80000
6.77958,1.81700
11.33614,4.40000
-1.78336,4.16700
-3.84913,4.70000
10.96188,2.06700
-8.84913,4.70000
2.86348,4.03300
2.46151,1.96700
-2.02003,4.50000
-7.95210,4.00000
8.39697,1.98300
-8.35378,5.06700
6.24028,2.01700
-3.27336,4.56700
-2.20079,3.88300
7.35948,3.60000
-4.63297,4.13300
1.57298,4.33300
-9.47867,4.10000
4.37099,2.63300
-6.31528,4.06700
4.75385,4.93300
-2.65049,3.95000
-1.08270,4.51700
-6.76270,2.16700
7.04790,4.00000
4.95058,2.20000
9.57298,4.33300
-3.26898,1.86700
-4.47616,4.81700
9.77024,1.83300
-8.30764,4.30000
2.30527,4.66700
-2.13691,3.75000
-2.26898,1.86700
-1.01035,4.90000
3.63133,2.48300
7.45223,4.36700
-5.25279,2.10000
1.97997,4.50000
1.77272,4.05000
-6.26898,1.86700
2.15087,4.70000
-1.21979,1.78300
3.32116,4.85000
4.49161,3.68300
-7.01269,4.73300
2.94534,2.30000
5.98965,4.90000
-1.72359,4.41700
5.67401,1.70000
-0.54427,4.63300
-6.24502,2.31700
3.59434,4.60000
5.77958,1.81700
6.27641,4.41700
-7.37570,2.61700
-10.31528,4.06700
-3.12029,4.25000
2.46151,1.96700
6.59434,4.60000
3.71370,3.76700
-8.37490,1.91700
0.97997,4.50000
-0.70092,2.26700
8.38153,4.65000
-8.26898,1.86700
3.21664,4.16700
-7.39358,2.80000
8.57298,4.33300
-7.22976,1.83300
1.39588,4.38300
-2.29661,1.88300
2.75385,4.93300
-0.84262,2.03300
2.01653,3.73300
0.94574,4.23300
4.64110,2.23300
0.85740,4.53300
-5.47616,4.81700
-4.42702,4.33300
5.39697,1.98300
-1.54427,4.63300
-4.75972,2.01700
11.33460,5.10000
-0.21685,1.80000
-7.04909,5.03300
-1.95210,4.00000
7.75034,2.40000
-0.40566,4.60000
-4.26794,3.56700
-8.95210,4.00000
-0.02003,4.50000
13.60431,4.08300
-0.21685,1.80000
10.24385,3.96700
-10.04942,2.20000
6.29081,4.15000
4.32195,2.00000
0.17143,3.83300
-8.46398,3.50000
-5.33678,4.58300
6.16430,2.36700
4.23102,5.00000
-1.42096,1.93300
11.52378,4.61700
-4.37490,1.91700
2.86084,2.08300
-4.33678,4.58300
-4.19798,3.33300
1.21664,4.16700
0.57298,4.33300
-8.02003,4.50000
-7.47003,2.41700
6.04790,4.00000
-5.78336,4.16700
1.70339,1.88300
-4.33678,4.58300
2.87971,4.25000
5.71370,3.76700
-2.84262,2.03300
-2.77994,4.43300
4.60431,4.08300
-7.22976,1.83300
2.27641,4.41700
0.10117,2.18300
-1.37648,4.80000
3.77024,1.83300
-6.37648,4.80000
4.52133,4.10000
-1.75003,3.96600
0.94574,4.23300
12.53602,3.50000
-3.54424,4.36600
-4.52701,2.25000
-3.69473,4.66700
5.74721,2.10000
1.51239,4.35000
11.36703,4.13300
-0.26898,1.86700
-3.40566,4.60000
-7.21979,1.78300
-3.54777,4.36700
6.04123,3.85000
-4.42096,1.93300
1.97997,4.50000
13.96591,2.38300
-1.84913,4.70000
-4.26898,1.86700
-2.82857,3.83300
-9.38253,3.41700
-4.05426,4.23300
-4.24966,2.40000
11.62352,4.80000
1.32195,2.00000
-3.70919,4.15000
-3.26898,1.86700
1.81496,4.26700
0.75609,1.75000
-5.95820,4.48300
-0.95210,4.00000
-0.55924,4.11700
-1.39569,4.08300
-2.18504,4.26700
-8.43578,3.91700
-2.20735,4.55000
-9.39569,4.08300
-3.47003,2.41700
6.14859,4.18300
-5.20604,2.21700
9.15991,4.45000
0.70339,1.88300
0.75393,1.85000
-3.24495,4.28300
0.34951,3.95000
7.57089,2.33300
-4.70919,4.15000
-9.62982,2.35000
2.75385,4.93300
-2.11109,2.90000
3.66322,4.58300
4.17143,3.83300
2.86084,2.08300
1.45223,4.36700
12.50832,2.13300
-6.48761,4.35000
-1.04942,2.20000
2.15991,4.45000
-2.26794,3.56700
-8.02003,4.50000
8.29081,4.15000
2.29746,3.81700
-7.43578,3.91700
2.15991,4.45000
2.32195,2.00000
-1.24495,4.28300
-4.19170,4.76700
2.85740,4.53300
4.75393,1.85000
2.87971,4.25000
-10.60303,1.98300
4.47299,2.25000
-7.10081,4.75000
1.44076,4.11700
-8.62406,2.15000
9.27641,4.41700
-7.22042,1.81700
-6.90067,4.46700
