residuals,dependent_var
-0.75987,79.00000
-0.18353,54.00000
-0.86331,74.00000
-0.02369,62.00000
0.21496,85.00000
0.91195,55.00000
0.29749,88.00000
-0.71804,85.00000
-0.07724,51.00000
0.03196,85.00000
-0.15053,54.00000
-0.39411,84.00000
-0.16051,78.00000
-0.23346,47.00000
0.38640,83.00000
0.15148,52.00000
-0.55669,62.00000
0.48889,84.00000
-0.41552,52.00000
-0.10987,79.00000
-0.22724,51.00000
-0.23346,47.00000
-0.91051,78.00000
-0.44005,69.00000
0.33669,74.00000
-0.71360,83.00000
-0.00405,55.00000
-0.23543,76.00000
-0.51051,78.00000
0.07313,79.00000
0.19947,73.00000
0.11899,77.00000
0.42168,66.00000
-0.31746,80.00000
-0.36331,74.00000
0.00148,52.00000
-0.14403,48.00000
0.48254,80.00000
-0.20864,59.00000
0.28181,90.00000
-0.00046,80.00000
-0.11531,58.00000
0.25589,84.00000
-0.24831,58.00000
0.43247,73.00000
-0.99660,83.00000
1.23903,64.00000
0.10028,53.00000
0.30978,82.00000
-0.04164,59.00000
0.53140,75.00000
0.21481,90.00000
-0.15053,54.00000
0.48254,80.00000
-0.25053,54.00000
0.56940,83.00000
-0.12388,71.00000
-0.92697,64.00000
0.21899,77.00000
-0.01980,81.00000
0.19136,59.00000
0.18889,84.00000
-0.26103,48.00000
0.47678,82.00000
-0.28979,60.00000
-0.20817,92.00000
-0.19351,78.00000
0.33949,78.00000
-0.69676,65.00000
0.59947,73.00000
-0.29022,82.00000
0.00041,56.00000
0.14013,79.00000
0.15912,71.00000
-0.32369,62.00000
0.74857,76.00000
-0.08979,60.00000
0.20649,78.00000
-0.43543,76.00000
-0.71360,83.00000
-0.13560,75.00000
0.00978,82.00000
0.41859,70.00000
-0.13076,65.00000
-0.03353,73.00000
0.53049,88.00000
-0.36843,76.00000
0.16654,80.00000
0.15597,48.00000
-0.33563,86.00000
0.09321,60.00000
-0.16819,90.00000
-0.16482,50.00000
0.45649,78.00000
-0.60744,63.00000
0.31847,72.00000
0.35589,84.00000
-0.51860,75.00000
-0.16024,51.00000
0.57678,82.00000
0.17631,62.00000
-0.03551,88.00000
0.07309,49.00000
0.18640,83.00000
-0.28680,81.00000
-0.11646,47.00000
0.38889,84.00000
-0.23252,52.00000
0.51437,86.00000
-0.65380,81.00000
0.46440,75.00000
0.25836,59.00000
0.45090,89.00000
0.05713,79.00000
-0.34164,59.00000
0.29620,81.00000
0.28518,50.00000
0.28196,85.00000
-0.22464,59.00000
0.05292,87.00000
0.61728,53.00000
0.55995,69.00000
-0.09801,77.00000
0.00041,56.00000
0.19749,88.00000
-0.56980,81.00000
0.02262,45.00000
0.17678,82.00000
0.29595,55.00000
0.14881,90.00000
-0.02738,45.00000
-0.14660,83.00000
0.83341,56.00000
-0.11610,89.00000
-0.11132,46.00000
0.05978,82.00000
-0.14424,51.00000
0.59737,86.00000
0.03328,53.00000
-0.62687,79.00000
-0.10380,81.00000
0.12621,60.00000
0.20978,82.00000
0.46899,77.00000
0.01457,76.00000
-0.05864,59.00000
0.28254,80.00000
-0.00991,49.00000
0.37394,96.00000
-0.19972,53.00000
0.68499,77.00000
-0.34801,77.00000
-0.36376,65.00000
0.26320,81.00000
-0.27388,71.00000
0.31859,70.00000
0.16320,81.00000
-0.57239,93.00000
-0.19972,53.00000
-0.48210,89.00000
0.30562,45.00000
-0.18563,86.00000
0.00169,58.00000
-0.52751,78.00000
0.55468,66.00000
0.26457,76.00000
-0.07344,63.00000
0.59749,88.00000
-0.08252,52.00000
-0.03839,93.00000
-0.10991,49.00000
0.10862,57.00000
0.23499,77.00000
0.01040,68.00000
-0.16980,81.00000
-0.00380,81.00000
0.39947,73.00000
0.38518,50.00000
-0.31804,85.00000
-0.02931,74.00000
-0.08805,55.00000
0.23499,77.00000
-0.06360,83.00000
-0.54660,83.00000
0.00576,51.00000
0.07249,78.00000
-0.22811,84.00000
-0.11132,46.00000
0.10340,83.00000
0.21195,55.00000
0.46320,81.00000
-0.14138,57.00000
0.48157,76.00000
-0.21111,84.00000
-0.38201,77.00000
-0.10380,81.00000
-0.86408,87.00000
0.01799,77.00000
0.22276,51.00000
0.30649,78.00000
-0.00679,60.00000
0.02678,82.00000
-0.42245,91.00000
-0.13272,53.00000
0.23949,78.00000
-0.16132,46.00000
0.01899,77.00000
-0.46111,84.00000
-0.09391,49.00000
0.18640,83.00000
-1.45788,71.00000
0.34954,80.00000
-0.15991,49.00000
-0.43560,75.00000
0.82303,64.00000
-0.08543,76.00000
0.40028,53.00000
0.10683,94.00000
0.02895,55.00000
-0.16843,76.00000
-0.16482,50.00000
-0.05622,82.00000
-0.23353,54.00000
0.21440,75.00000
-0.36051,78.00000
-0.24287,79.00000
-0.27751,78.00000
-0.09351,78.00000
0.23559,70.00000
0.19013,79.00000
0.40159,70.00000
0.43347,54.00000
-0.15263,86.00000
0.18518,50.00000
-0.05119,90.00000
-0.10053,54.00000
-0.13353,54.00000
-0.06501,77.00000
-0.40987,79.00000
-0.26097,64.00000
-0.11860,75.00000
0.36654,47.00000
0.59737,86.00000
0.45956,63.00000
0.26496,85.00000
-0.49022,82.00000
0.10862,57.00000
0.04378,82.00000
-1.00047,67.00000
0.15369,74.00000
0.21647,54.00000
0.13640,83.00000
-0.53353,73.00000
0.39947,73.00000
-0.25251,88.00000
