x,y1,y2
-41.29000,53.05553,96.24699
-41.18446,52.99260,96.13198
-41.07893,52.92960,96.01744
-40.97339,52.86655,95.90335
-40.86786,52.80344,95.78973
-40.76232,52.74028,95.67656
-40.65679,52.67707,95.56386
-40.55125,52.61381,95.45162
-40.44572,52.55050,95.33983
-40.34018,52.48715,95.22851
-40.23464,52.42376,95.11765
-40.12911,52.36033,95.00724
-40.02357,52.29687,94.89729
-39.91804,52.23337,94.78781
-39.81250,52.16985,94.67878
-39.70697,52.10630,94.57020
-39.60143,52.04272,94.46208
-39.49590,51.97913,94.35442
-39.39036,51.91551,94.24722
-39.28482,51.85188,94.14047
-39.17929,51.78824,94.03418
-39.07375,51.72459,93.92834
-38.96822,51.66093,93.82295
-38.86268,51.59726,93.71802
-38.75715,51.53359,93.61355
-38.65161,51.46993,93.50952
-38.54608,51.40626,93.40595
-38.44054,51.34261,93.30283
-38.33501,51.27896,93.20016
-38.22947,51.21532,93.09794
-38.12393,51.15169,92.99618
-38.01840,51.08809,92.89486
-37.91286,51.02450,92.79399
-37.80733,50.96093,92.69357
-37.70179,50.89739,92.59360
-37.59626,50.83387,92.49408
-37.49072,50.77039,92.39500
-37.38519,50.70694,92.29638
-37.27965,50.64352,92.19819
-37.17411,50.58014,92.10046
-37.06858,50.51680,92.00317
-36.96304,50.45350,91.90632
-36.85751,50.39025,91.80992
-36.75197,50.32705,91.71396
-36.64644,50.26390,91.61844
-36.54090,50.20080,91.52337
-36.43537,50.13776,91.42873
-36.32983,50.07477,91.33454
-36.22429,50.01185,91.24079
-36.11876,49.94899,91.14748
-36.01322,49.88620,91.05461
-35.90769,49.82347,90.96218
-35.80215,49.76082,90.87018
-35.69662,49.69824,90.77862
-35.59108,49.63574,90.68750
-35.48555,49.57331,90.59682
-35.38001,49.51097,90.50657
-35.27447,49.44871,90.41676
-35.16894,49.38653,90.32738
-35.06340,49.32445,90.23844
-34.95787,49.26246,90.14993
-34.85233,49.20056,90.06185
-34.74680,49.13875,89.97420
-34.64126,49.07705,89.88699
-34.53573,49.01544,89.80020
-34.43019,48.95394,89.71385
-34.32465,48.89255,89.62793
-34.21912,48.83126,89.54243
-34.11358,48.77008,89.45736
-34.00805,48.70902,89.37273
-33.90251,48.64807,89.28851
-33.79698,48.58724,89.20473
-33.69144,48.52652,89.12137
-33.58591,48.46594,89.03843
-33.48037,48.40547,88.95592
-33.37483,48.34513,88.87384
-33.26930,48.28492,88.79218
-33.16376,48.22485,88.71094
-33.05823,48.16490,88.63012
-32.95269,48.10509,88.54972
-32.84716,48.04542,88.46975
-32.74162,47.98589,88.39019
-32.63609,47.92651,88.31106
-32.53055,47.86727,88.23234
-32.42502,47.80817,88.15404
-32.31948,47.74922,88.07616
-32.21394,47.69043,87.99870
-32.10841,47.63179,87.92165
-32.00287,47.57330,87.84502
