x,y1,y2
39.00000,-50.88162,35.86291
39.04605,-50.84794,35.88325
39.09209,-50.81423,35.90369
39.13814,-50.78050,35.92422
39.18418,-50.74673,35.94483
39.23023,-50.71293,35.96554
39.27628,-50.67910,35.98633
39.32232,-50.64525,36.00721
39.36837,-50.61136,36.02819
39.41441,-50.57744,36.04925
39.46046,-50.54350,36.07040
39.50651,-50.50952,36.09164
39.55255,-50.47551,36.11297
39.59860,-50.44148,36.13439
39.64464,-50.40741,36.15589
39.69069,-50.37332,36.17749
39.73674,-50.33919,36.19917
39.78278,-50.30503,36.22094
39.82883,-50.27085,36.24280
39.87487,-50.23663,36.26475
39.92092,-50.20238,36.28678
39.96697,-50.16811,36.30890
40.01301,-50.13380,36.33111
40.05906,-50.09946,36.35341
40.10511,-50.06509,36.37580
40.15115,-50.03070,36.39827
40.19720,-49.99627,36.42083
40.24324,-49.96181,36.44348
40.28929,-49.92732,36.46621
40.33534,-49.89280,36.48904
40.38138,-49.85826,36.51194
40.42743,-49.82368,36.53494
40.47347,-49.78907,36.55802
40.51952,-49.75443,36.58119
40.56557,-49.71976,36.60444
40.61161,-49.68506,36.62778
40.65766,-49.65033,36.65121
40.70370,-49.61556,36.67473
40.74975,-49.58077,36.69832
40.79580,-49.54595,36.72201
40.84184,-49.51110,36.74578
40.88789,-49.47621,36.76964
40.93393,-49.44130,36.79358
40.97998,-49.40636,36.81761
41.02603,-49.37138,36.84172
41.07207,-49.33638,36.86592
41.11812,-49.30134,36.89020
41.16416,-49.26628,36.91457
41.21021,-49.23118,36.93902
41.25626,-49.19605,36.96355
41.30230,-49.16089,36.98818
41.34835,-49.12570,37.01288
41.39439,-49.09048,37.03767
41.44044,-49.05523,37.06255
41.48649,-49.01995,37.08750
41.53253,-48.98464,37.11255
41.57858,-48.94930,37.13767
41.62462,-48.91393,37.16288
41.67067,-48.87852,37.18817
41.71672,-48.84309,37.21355
41.76276,-48.80762,37.23901
41.80881,-48.77213,37.26455
41.85485,-48.73660,37.29018
41.90090,-48.70104,37.31589
41.94695,-48.66546,37.34168
41.99299,-48.62984,37.36755
42.03904,-48.59419,37.39351
42.08509,-48.55851,37.41955
42.13113,-48.52279,37.44567
42.17718,-48.48705,37.47187
42.22322,-48.45128,37.49816
42.26927,-48.41547,37.52453
42.31532,-48.37964,37.55097
42.36136,-48.34377,37.57751
42.40741,-48.30787,37.60412
42.45345,-48.27195,37.63081
42.49950,-48.23599,37.65758
42.54555,-48.20000,37.68444
42.59159,-48.16397,37.71138
42.63764,-48.12792,37.73839
42.68368,-48.09184,37.76549
42.72973,-48.05573,37.79267
42.77578,-48.01958,37.81993
42.82182,-47.98340,37.84726
42.86787,-47.94720,37.87468
42.91391,-47.91096,37.90218
42.95996,-47.87469,37.92976
43.00601,-47.83839,37.95742
43.05205,-47.80206,37.98516
43.09810,-47.76569,38.01297
43.14414,-47.72930,38.04087
43.19019,-47.69287,38.06884
43.23624,-47.65642,38.09690
43.28228,-47.61993,38.12503
43.32833,-47.58341,38.15324
43.37437,-47.54686,38.18153
43.42042,-47.51028,38.20990
43.46647,-47.47367,38.23835
43.51251,-47.43703,38.26687
43.55856,-47.40035,38.29547
43.60460,-47.36365,38.32415
43.65065,-47.32691,38.35291
43.69670,-47.29015,38.38175
43.74274,-47.25335,38.41066
43.78879,-47.21652,38.43965
43.83483,-47.17966,38.46871
43.88088,-47.14276,38.49786
43.92693,-47.10584,38.52708
43.97297,-47.06888,38.55638
44.01902,-47.03190,38.58575
44.06507,-46.99488,38.61520
44.11111,-46.95783,38.64472
44.15716,-46.92075,38.67433
44.20320,-46.88364,38.70400
44.24925,-46.84650,38.73376
44.29530,-46.80933,38.76358
44.34134,-46.77212,38.79349
44.38739,-46.73489,38.82347
44.43343,-46.69762,38.85352
44.47948,-46.66032,38.88365
