x,y
42.00000,43.51000
79.00000,41.33000
72.00000,36.78000
43.00000,-8.82000
78.00000,34.61000
75.00000,40.11000
76.00000,12.52000
83.00000,-35.18000
82.00000,48.12000
70.00000,40.24000
74.00000,25.40000
77.00000,26.19000
63.00000,23.71000
79.00000,13.09000
75.00000,53.97000
81.00000,50.83000
79.00000,17.25000
56.00000,6.48000
65.00000,27.44000
66.00000,-16.30000
77.00000,43.86000
47.00000,-24.66000
75.00000,-15.78000
79.00000,4.94000
76.00000,42.71000
52.00000,12.35000
49.00000,-3.38000
60.00000,11.54000
50.00000,3.86000
82.00000,45.42000
45.00000,4.36000
52.00000,12.11000
81.00000,49.42000
81.00000,-33.45000
74.00000,31.14000
65.00000,-11.70000
54.00000,-4.25000
46.00000,-4.33000
81.00000,9.92000
48.00000,5.33000
78.00000,45.80000
79.00000,23.00000
81.00000,35.17000
79.00000,50.08000
80.00000,55.68000
55.00000,11.58000
74.00000,18.48000
77.00000,-0.23000
72.00000,30.06000
74.00000,13.70000
51.00000,3.75000
58.00000,15.33000
77.00000,59.43000
52.00000,9.00000
68.00000,6.92000
70.00000,-18.14000
82.00000,60.17000
83.00000,48.86000
79.00000,4.93000
76.00000,-17.54000
58.00000,0.39000
59.00000,13.44000
74.00000,41.70000
81.00000,52.52000
59.00000,5.54000
80.00000,37.97000
69.00000,12.05000
82.00000,16.00000
77.00000,13.47000
73.00000,14.62000
55.00000,9.54000
47.00000,11.86000
66.00000,6.80000
60.00000,18.54000
73.00000,14.08000
84.00000,22.30000
77.00000,47.50000
83.00000,64.14000
64.00000,28.63000
70.00000,-6.19000
71.00000,35.71000
59.00000,33.32000
80.00000,53.34000
82.00000,31.79000
83.00000,41.90000
75.00000,18.00000
85.00000,35.68000
73.00000,31.94000
71.00000,51.18000
52.00000,-1.28000
69.00000,39.02000
81.00000,37.51000
79.00000,29.37000
69.00000,42.87000
63.00000,17.97000
77.00000,56.95000
73.00000,33.89000
46.00000,-29.30000
45.00000,6.31000
76.00000,32.88000
78.00000,54.69000
81.00000,49.61000
82.00000,22.18000
76.00000,42.00000
59.00000,-18.92000
46.00000,-13.99000
75.00000,3.15000
66.00000,4.17000
54.00000,12.65000
81.00000,35.90000
82.00000,14.60000
64.00000,18.07000
75.00000,-20.16000
77.00000,19.42000
68.00000,47.91000
77.00000,42.46000
72.00000,33.99000
45.00000,-25.97000
63.00000,19.74000
53.00000,-22.57000
62.00000,27.71000
81.00000,52.37000
79.00000,12.10000
79.00000,-22.28000
81.00000,-41.29000
74.00000,12.15000
54.00000,13.52000
47.00000,9.06000
82.00000,59.91000
76.00000,23.61000
64.00000,33.68000
74.00000,31.88000
77.00000,8.99000
60.00000,-9.47000
73.00000,-25.30000
72.00000,-12.09000
72.00000,14.58000
79.00000,52.22000
80.00000,38.71000
82.00000,18.45000
75.00000,25.29000
71.00000,47.01000
80.00000,-20.87000
75.00000,44.45000
72.00000,55.76000
66.00000,27.15000
74.00000,14.00000
74.00000,-13.83000
66.00000,0.34000
74.00000,24.67000
64.00000,14.70000
76.00000,44.80000
43.00000,8.47000
81.00000,1.29000
78.00000,48.21000
80.00000,46.05000
63.00000,-9.43000
47.00000,2.04000
56.00000,-25.75000
83.00000,40.42000
75.00000,6.92000
73.00000,13.20000
58.00000,15.63000
72.00000,5.82000
45.00000,-26.32000
82.00000,59.33000
83.00000,46.95000
75.00000,33.52000
69.00000,38.57000
51.00000,-6.17000
74.00000,13.76000
59.00000,-8.57000
60.00000,6.12000
73.00000,-21.14000
71.00000,10.66000
75.00000,36.81000
73.00000,39.94000
67.00000,37.95000
48.00000,0.31000
73.00000,50.44000
80.00000,24.48000
81.00000,51.50000
80.00000,38.89000
83.00000,18.34000
79.00000,-34.89000
70.00000,41.32000
70.00000,-17.74000
76.00000,10.50000
75.00000,21.03000
62.00000,15.36000
39.00000,-15.41000
40.00000,-17.82000
