residuals,dependent_var
49.13646,42.00000
13.84266,79.00000
15.27190,72.00000
-3.87534,43.00000
7.91064,78.00000
15.91576,75.00000
-12.53139,76.00000
-65.54908,83.00000
18.42842,82.00000
20.60237,70.00000
2.08306,74.00000
0.30309,77.00000
10.90992,63.00000
-14.39734,79.00000
29.77576,75.00000
21.84531,81.00000
-10.23734,79.00000
0.52178,56.00000
12.66022,65.00000
-32.06526,66.00000
17.97309,77.00000
-22.69573,47.00000
-39.97424,75.00000
-22.54734,79.00000
17.65861,76.00000
10.08663,52.00000
-3.04599,49.00000
1.70550,60.00000
3.34734,50.00000
15.72842,82.00000
7.86356,45.00000
9.84663,52.00000
20.43531,81.00000
-62.43469,81.00000
7.82306,74.00000
-26.47978,65.00000
-8.33217,54.00000
-1.58424,46.00000
-19.06469,81.00000
6.49001,48.00000
19.10064,78.00000
-4.48734,79.00000
6.18531,81.00000
22.59266,79.00000
27.43046,80.00000
6.56625,55.00000
-4.83694,74.00000
-26.11691,77.00000
8.55190,72.00000
-9.61694,74.00000
2.37114,51.00000
7.45020,58.00000
33.54309,77.00000
6.73663,52.00000
-10.79881,68.00000
-37.77763,70.00000
30.47842,82.00000
18.49092,83.00000
-22.55734,79.00000
-42.59139,76.00000
-7.48980,58.00000
4.58619,59.00000
18.38306,74.00000
23.53531,81.00000
-3.31381,59.00000
9.72046,80.00000
-6.63342,69.00000
-13.69158,82.00000
-12.41691,77.00000
-7.80103,73.00000
4.52625,55.00000
13.82427,47.00000
-8.96526,66.00000
8.70550,60.00000
-8.34103,73.00000
-8.71615,84.00000
21.61309,77.00000
33.77092,83.00000
14.83919,64.00000
-25.82763,70.00000
15.13025,71.00000
24.46619,59.00000
25.09046,80.00000
2.09842,82.00000
11.53092,83.00000
-6.19424,75.00000
4.04822,85.00000
9.51897,73.00000
30.60025,71.00000
-3.54337,52.00000
20.33658,69.00000
8.52531,81.00000
1.88266,79.00000
24.18658,69.00000
5.16992,63.00000
31.06309,77.00000
11.46897,73.00000
-26.55424,46.00000
9.81356,45.00000
7.82861,76.00000
27.99064,78.00000
20.62531,81.00000
-7.51158,82.00000
16.94861,76.00000
-27.77381,59.00000
-11.24424,46.00000
-21.04424,75.00000
-11.59526,66.00000
8.56783,54.00000
6.91531,81.00000
-15.09158,82.00000
4.27919,64.00000
-44.35424,75.00000
-6.46691,77.00000
30.19119,68.00000
16.57309,77.00000
12.48190,72.00000
-22.46644,45.00000
6.93992,63.00000
-25.73491,53.00000
15.90069,62.00000
23.38531,81.00000
-15.38734,79.00000
-49.76734,79.00000
-70.27469,81.00000
-11.16694,74.00000
9.43783,54.00000
11.02427,47.00000
30.21842,82.00000
-1.44139,76.00000
19.88919,64.00000
8.56306,74.00000
-16.89691,77.00000
-19.30450,60.00000
-47.72103,73.00000
-33.59810,72.00000
-6.92810,72.00000
24.73266,79.00000
10.46046,80.00000
-11.24158,82.00000
1.09576,75.00000
26.43025,71.00000
-49.11954,80.00000
20.25576,75.00000
34.25190,72.00000
11.38474,66.00000
-9.31694,74.00000
-37.14694,74.00000
-15.42526,66.00000
1.35306,74.00000
0.90919,64.00000
19.74861,76.00000
13.41466,43.00000
-27.69469,81.00000
21.51064,78.00000
17.80046,80.00000
-22.23008,63.00000
4.00427,47.00000
-31.70822,56.00000
10.05092,83.00000
-17.27424,75.00000
-9.22103,73.00000
7.75020,58.00000
-15.68810,72.00000
-22.81644,45.00000
29.63842,82.00000
16.58092,83.00000
9.32576,75.00000
19.88658,69.00000
-7.54886,51.00000
-9.55694,74.00000
-17.42381,59.00000
-3.71450,60.00000
-43.56103,73.00000
-9.91975,71.00000
12.61576,75.00000
17.51897,73.00000
21.20449,67.00000
1.47001,48.00000
28.01897,73.00000
-3.76954,80.00000
22.51531,81.00000
10.64046,80.00000
-12.02908,83.00000
-62.37734,79.00000
21.68237,70.00000
-37.37763,70.00000
-14.55139,76.00000
-3.16424,75.00000
3.55069,62.00000
-7.90064,39.00000
-10.91067,40.00000
