residuals,dependent_var
-35.11882,43.51000
2.34288,41.33000
-3.44219,36.78000
-17.50705,-8.82000
3.24530,34.61000
-1.36357,40.11000
10.23249,12.52000
13.13511,-35.18000
4.18649,48.12000
-6.39602,40.24000
2.74944,25.40000
5.42103,26.19000
-7.53719,23.71000
13.00041,13.09000
-3.10995,53.97000
2.96588,50.83000
11.24899,17.25000
-7.50102,6.48000
-7.09057,27.44000
4.87101,-16.30000
-0.18520,43.86000
-16.74774,-24.66000
13.96584,-15.78000
16.00400,4.94000
-0.95895,42.71000
-13.69877,12.35000
-11.99252,-3.38000
-5.37448,11.54000
-12.66362,3.86000
4.54576,45.42000
-17.81516,4.36000
-13.60212,12.11000
3.06291,49.42000
12.33982,-33.45000
0.46841,31.14000
4.43924,-11.70000
-6.86638,-4.25000
-14.85567,-4.33000
16.25628,9.92000
-15.12055,5.33000
0.48695,45.80000
8.76604,23.00000
6.06176,35.17000
1.01267,50.08000
1.93078,55.68000
-10.39036,11.58000
5.71871,18.48000
15.40955,-0.23000
-1.12385,30.06000
7.74948,13.70000
-11.63083,3.75000
-8.93221,15.33000
-0.77762,59.43000
-12.39747,9.00000
4.34841,6.92000
8.47173,-18.14000
4.31247,60.17000
5.11216,48.86000
16.00717,4.93000
14.61288,-17.54000
-3.73275,0.39000
-7.14326,13.44000
-2.74124,41.70000
2.90089,52.52000
-4.18857,5.54000
4.20912,37.97000
3.42197,12.05000
14.78367,16.00000
10.84439,13.47000
6.36654,14.62000
-9.59958,9.54000
-18.50194,11.86000
2.38974,6.80000
-8.30723,18.54000
6.59193,14.08000
14.06656,22.30000
-0.74316,47.50000
5.97499,64.14000
-8.56704,28.63000
9.35001,-6.19000
-4.11126,35.71000
-15.31664,33.32000
1.88965,53.34000
8.22879,31.79000
6.21426,41.90000
6.92602,18.00000
9.89825,35.68000
-0.82585,31.94000
-7.05219,51.18000
-9.36742,-1.28000
-7.08084,39.02000
5.34143,37.51000
6.14254,29.37000
-7.99182,42.87000
-5.06104,17.97000
-1.00149,56.95000
-1.51277,33.89000
-20.07850,-29.30000
-18.44357,6.31000
1.83744,32.88000
-0.09986,54.69000
3.04758,49.61000
12.11821,22.18000
-0.80773,42.00000
-2.72765,-18.92000
-14.76779,-13.99000
12.54441,3.15000
3.24291,4.17000
-11.82023,12.65000
5.82881,35.90000
15.37492,14.60000
-4.10419,18.07000
12.91833,-20.16000
8.31189,19.42000
-9.79050,47.91000
0.09330,42.46000
-2.54676,33.99000
-19.34389,-25.97000
-5.82674,19.74000
-9.89986,-22.57000
-10.19963,27.71000
2.90438,52.37000
13.40190,12.10000
16.20766,-22.28000
6.34874,-41.29000
8.38181,12.15000
-12.17622,13.52000
-17.41976,9.06000
4.27961,59.91000
5.50541,23.61000
-10.44098,33.68000
0.19598,31.88000
12.60624,8.99000
-0.49954,-9.47000
8.96719,-25.30000
11.41444,-12.09000
5.38330,14.58000
0.90832,52.22000
4.00300,38.71000
13.73168,18.45000
3.79545,25.29000
-6.68240,47.01000
17.69512,-20.87000
-2.29214,44.45000
-6.06589,55.76000
-5.97283,27.15000
7.62517,14.00000
13.25152,-13.83000
4.27901,0.34000
3.05594,24.67000
-2.66699,14.70000
-1.35261,44.80000
-21.20234,8.47000
19.04721,1.29000
0.17689,48.21000
2.44972,46.05000
2.50032,-9.43000
-15.14795,2.04000
-8.24032,-25.75000
6.55951,40.42000
11.34841,6.92000
6.95535,13.20000
-9.05918,15.63000
8.71970,5.82000
-19.51152,-26.32000
4.21102,59.33000
5.32535,46.95000
0.61409,33.52000
-6.95865,38.57000
-9.65175,-6.17000
7.72466,13.76000
-1.51292,-8.57000
-3.37985,6.12000
10.60633,-21.14000
5.97130,10.66000
-0.45124,36.81000
-3.32073,39.94000
-8.78519,37.95000
-13.71395,0.31000
-5.01116,50.44000
9.13615,24.48000
2.93339,51.50000
3.95413,38.89000
14.77921,18.34000
9.34206,-34.89000
-6.65481,41.32000
8.56701,-17.74000
11.03338,10.50000
5.61463,21.03000
-4.94489,15.36000
-21.97149,-15.41000
-21.45167,-17.82000
